주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,6943.0,6586.0,5660.0,6032.0,6132.0,,,
영업이익,320.0,410.0,322.0,563.0,460.0,,,
영업이익(발표기준),320.0,414.0,322.0,563.0,460.0,,,
세전계속사업이익,257.0,313.0,202.0,501.0,395.0,,,
당기순이익,185.0,231.0,76.0,358.0,266.0,,,
당기순이익(지배),159.0,184.0,54.0,307.0,239.0,,,
당기순이익(비지배),26.0,47.0,23.0,51.0,28.0,,,
자산총계,6755.0,7231.0,6783.0,7108.0,7564.0,,,
부채총계,4181.0,4485.0,4084.0,4060.0,4253.0,,,
자본총계,2573.0,2746.0,2700.0,3048.0,3311.0,,,
자본총계(지배),2133.0,2270.0,2264.0,2566.0,2725.0,,,
자본총계(비지배),441.0,476.0,435.0,482.0,586.0,,,
자본금,249.0,249.0,249.0,249.0,249.0,,,
영업활동현금흐름,688.0,1010.0,188.0,466.0,98.0,,,
투자활동현금흐름,-953.0,-1393.0,-367.0,-257.0,-159.0,,,
재무활동현금흐름,185.0,381.0,68.0,-172.0,190.0,,,
CAPEX,994.0,1279.0,315.0,196.0,142.0,,,
FCF,-306.0,-268.0,-127.0,270.0,-44.0,,,
이자발생부채,2824.0,3275.0,3130.0,2957.0,3171.0,,,
영업이익률,4.61,6.22,5.7,9.34,7.5,,,
순이익률,2.66,3.5,1.35,5.93,4.34,,,
ROE(%),7.66,8.36,2.37,12.69,9.03,,,
ROA(%),2.77,3.3,1.09,5.15,3.63,,,
부채비율,162.48,163.34,151.28,133.2,128.45,,,
자본유보율,776.43,836.79,845.12,961.21,1045.75,,,
EPS(원),3188.0,3701.0,1080.0,6163.0,4801.0,,,
PER(배),5.27,16.29,36.39,6.34,5.98,,,
BPS(원),47678.0,50750.0,50618.0,57369.0,60928.0,,,
PBR(배),0.35,1.19,0.78,0.68,0.47,,,
현금DPS(원),350.0,400.0,400.0,500.0,500.0,,,
현금배당수익률,2.08,0.66,1.02,1.28,1.74,,,
현금배당성향(%),9.91,9.75,33.42,7.31,9.39,,,
발행주식수(보통주),4855964.0,4855964.0,4855964.0,4855964.0,4855964.0,,,
