주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2909.0,2097.0,1868.0,1793.0,1685.0,,,
영업이익,7.0,-63.0,-87.0,60.0,35.0,,,
영업이익(발표기준),7.0,-63.0,-87.0,60.0,35.0,,,
세전계속사업이익,50.0,-44.0,-84.0,12.0,93.0,,,
당기순이익,38.0,-76.0,-68.0,9.0,69.0,,,
당기순이익(지배),38.0,-76.0,-66.0,9.0,67.0,,,
당기순이익(비지배),,,-1.0,0.0,2.0,,,
자산총계,1637.0,1707.0,1467.0,1535.0,1803.0,,,
부채총계,919.0,1104.0,907.0,832.0,1026.0,,,
자본총계,718.0,603.0,561.0,703.0,777.0,,,
자본총계(지배),718.0,603.0,555.0,690.0,762.0,,,
자본총계(비지배),,,6.0,13.0,15.0,,,
자본금,50.0,50.0,50.0,65.0,65.0,,,
영업활동현금흐름,-171.0,46.0,-19.0,119.0,30.0,,,
투자활동현금흐름,22.0,-60.0,-13.0,-66.0,-16.0,,,
재무활동현금흐름,-47.0,10.0,-36.0,63.0,-9.0,,,
CAPEX,8.0,60.0,15.0,5.0,20.0,,,
FCF,-179.0,-14.0,-34.0,114.0,10.0,,,
이자발생부채,110.0,135.0,100.0,26.0,45.0,,,
영업이익률,0.26,-3.03,-4.67,3.33,2.05,,,
순이익률,1.31,-3.65,-3.61,0.51,4.09,,,
ROE(%),,-11.58,-11.42,1.43,9.26,,,
ROA(%),,-4.58,-4.25,0.61,4.13,,,
부채비율,127.89,182.99,161.69,118.3,132.0,,,
자본유보율,1340.59,1110.07,1007.37,959.38,1071.92,,,
EPS(원),352.0,-706.0,-610.0,75.0,517.0,,,
PER(배),24.3,-8.98,-10.77,79.45,9.26,,,
BPS(원),6627.0,5566.0,5121.0,5305.0,5861.0,,,
PBR(배),1.29,1.14,1.28,1.12,0.82,,,
현금DPS(원),92.0,0.0,0.0,40.0,100.0,,,
현금배당수익률,1.08,0.0,0.0,0.67,2.09,,,
현금배당성향(%),26.24,0.0,0.0,58.43,19.33,,,
발행주식수(보통주),10837872.0,10837872.0,10837872.0,13000000.0,13000000.0,,,
