주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3527.0,3855.0,4594.0,5955.0,6823.0,8743.0,9732.0,10432.0
영업이익,404.0,404.0,448.0,209.0,408.0,430.0,692.0,798.0
영업이익(발표기준),404.0,404.0,448.0,209.0,408.0,,,
세전계속사업이익,488.0,462.0,469.0,239.0,380.0,464.0,728.0,837.0
당기순이익,361.0,354.0,342.0,75.0,127.0,301.0,514.0,597.0
당기순이익(지배),340.0,334.0,317.0,80.0,130.0,273.0,474.0,547.0
당기순이익(비지배),21.0,20.0,24.0,-5.0,-3.0,,,
자산총계,3765.0,4374.0,5044.0,5202.0,6047.0,6680.0,7318.0,8004.0
부채총계,1839.0,2494.0,2871.0,3082.0,3633.0,4107.0,4386.0,4665.0
자본총계,1926.0,1880.0,2173.0,2121.0,2415.0,2529.0,2872.0,3267.0
자본총계(지배),1862.0,1803.0,1969.0,1895.0,2048.0,2143.0,2450.0,2811.0
자본총계(비지배),65.0,77.0,204.0,226.0,367.0,,,
자본금,58.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0
영업활동현금흐름,459.0,1037.0,350.0,275.0,662.0,689.0,812.0,859.0
투자활동현금흐름,-413.0,-395.0,-9.0,67.0,-218.0,-551.0,-233.0,-229.0
재무활동현금흐름,-150.0,-317.0,-24.0,-255.0,329.0,-74.0,-68.0,-77.0
CAPEX,77.0,103.0,164.0,480.0,214.0,185.0,146.0,129.0
FCF,382.0,933.0,186.0,-205.0,448.0,508.0,597.0,693.0
이자발생부채,82.0,193.0,305.0,202.0,255.0,,,
영업이익률,11.44,10.49,9.74,3.52,5.98,4.92,7.11,7.65
순이익률,10.23,9.18,7.44,1.26,1.86,3.44,5.28,5.72
ROE(%),19.48,18.25,16.83,4.16,6.58,13.05,20.65,20.81
ROA(%),9.89,8.7,7.26,1.47,2.26,4.72,7.34,7.79
부채비율,95.45,132.66,132.11,145.31,150.44,162.44,152.68,142.79
자본유보율,3269.93,3628.43,3889.78,3760.97,4085.76,,,
EPS(원),2923.0,2879.0,2732.0,692.0,1116.0,2354.0,4083.0,4713.0
PER(배),22.13,27.06,42.09,95.55,92.28,29.86,17.22,14.92
BPS(원),16415.0,16369.0,17837.0,17122.0,18502.0,19367.0,22134.0,25399.0
PBR(배),3.94,4.76,6.45,3.86,5.57,3.63,3.18,2.77
현금DPS(원),1100.0,1300.0,1500.0,1500.0,1500.0,1473.0,1541.0,1635.0
현금배당수익률,1.7,1.67,1.3,2.27,1.46,2.09,2.19,2.33
현금배당성향(%),36.84,43.3,52.17,206.58,128.04,0.63,0.38,0.35
발행주식수(보통주),11616185.0,11616185.0,11616185.0,11616185.0,11616185.0,,,
