주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2671.0,2628.0,2676.0,2584.0,2704.0,,,
영업이익,164.0,137.0,74.0,96.0,108.0,,,
영업이익(발표기준),164.0,137.0,74.0,96.0,108.0,,,
세전계속사업이익,114.0,90.0,57.0,72.0,114.0,,,
당기순이익,71.0,72.0,52.0,57.0,116.0,,,
당기순이익(지배),71.0,72.0,52.0,57.0,116.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1974.0,1984.0,2012.0,2056.0,2154.0,,,
부채총계,1008.0,991.0,998.0,976.0,923.0,,,
자본총계,967.0,993.0,1015.0,1080.0,1232.0,,,
자본총계(지배),967.0,993.0,1015.0,1080.0,1232.0,,,
자본총계(비지배),,,,,,,,
자본금,114.0,114.0,114.0,114.0,114.0,,,
영업활동현금흐름,117.0,141.0,168.0,80.0,-81.0,,,
투자활동현금흐름,-200.0,-43.0,-115.0,-52.0,5.0,,,
재무활동현금흐름,81.0,-95.0,-55.0,-24.0,74.0,,,
CAPEX,136.0,41.0,56.0,12.0,34.0,,,
FCF,-19.0,100.0,112.0,68.0,-115.0,,,
이자발생부채,556.0,471.0,427.0,414.0,493.0,,,
영업이익률,6.13,5.22,2.78,3.72,3.99,,,
순이익률,2.66,2.72,1.94,2.22,4.31,,,
ROE(%),7.51,7.31,5.16,5.47,10.07,,,
ROA(%),3.72,3.62,2.59,2.82,5.53,,,
부채비율,104.22,99.76,98.36,90.31,74.9,,,
자본유보율,782.55,802.27,816.4,867.6,989.89,,,
EPS(원),311.0,313.0,227.0,251.0,509.0,,,
PER(배),11.53,10.16,13.7,12.55,5.92,,,
BPS(원),4547.0,4671.0,4771.0,5080.0,5793.0,,,
PBR(배),0.79,0.68,0.65,0.62,0.52,,,
현금DPS(원),50.0,50.0,50.0,25.0,25.0,,,
현금배당수익률,1.39,1.57,1.61,0.79,0.83,,,
현금배당성향(%),14.95,14.85,20.52,9.27,4.57,,,
발행주식수(보통주),22863632.0,22863632.0,22863632.0,22863632.0,22863632.0,,,
