주요재무정보,2013(IFRS별도),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1308.0,1417.0,1421.0,1386.0,1507.0,1600.0,1723.0,1841.0
영업이익,230.0,284.0,233.0,85.0,77.0,80.0,86.0,92.0
영업이익(발표기준),230.0,284.0,233.0,85.0,77.0,,,
세전계속사업이익,243.0,296.0,318.0,210.0,149.0,106.0,120.0,126.0
당기순이익,183.0,236.0,251.0,158.0,111.0,85.0,96.0,101.0
당기순이익(지배),183.0,236.0,251.0,158.0,111.0,85.0,96.0,101.0
당기순이익(비지배),,,,,,,,
자산총계,2269.0,2368.0,2537.0,2376.0,2362.0,2415.0,2632.0,2854.0
부채총계,271.0,268.0,285.0,230.0,249.0,307.0,525.0,744.0
자본총계,1999.0,2100.0,2252.0,2146.0,2113.0,2108.0,2107.0,2110.0
자본총계(지배),1999.0,2100.0,2252.0,2146.0,2113.0,2108.0,2107.0,2110.0
자본총계(비지배),,,,,,,,
자본금,148.0,155.0,170.0,187.0,223.0,244.0,244.0,244.0
영업활동현금흐름,365.0,279.0,103.0,-78.0,86.0,157.0,106.0,159.0
투자활동현금흐름,257.0,-37.0,39.0,36.0,-74.0,-73.0,-71.0,-76.0
재무활동현금흐름,-335.0,-141.0,-143.0,-223.0,-180.0,-78.0,102.0,102.0
CAPEX,37.0,30.0,46.0,37.0,45.0,48.0,51.0,55.0
FCF,328.0,249.0,57.0,-115.0,41.0,,,
이자발생부채,,,,,,,,
영업이익률,17.58,20.02,16.38,6.16,5.09,5.0,4.99,5.0
순이익률,14.0,16.67,17.69,11.4,7.36,5.31,5.57,5.49
ROE(%),9.25,,11.55,7.19,5.21,4.03,4.55,4.79
ROA(%),7.71,,10.25,6.44,4.68,3.56,3.8,3.68
부채비율,13.54,12.77,12.66,10.72,11.8,14.56,24.92,35.26
자본유보율,1444.43,1439.73,1371.8,1207.61,967.25,,,
EPS(원),375.0,484.0,515.0,324.0,227.0,174.0,196.0,207.0
PER(배),24.44,25.75,37.88,74.43,103.99,148.34,131.34,124.84
BPS(원),4228.0,4442.0,4758.0,4531.0,4461.0,4313.0,4311.0,4318.0
PBR(배),2.17,2.81,4.1,5.32,5.29,5.98,5.98,5.98
현금DPS(원),304.0,319.0,489.0,383.0,182.0,200.0,200.0,200.0
현금배당수익률,3.32,2.56,2.5,1.59,0.77,0.78,0.78,0.78
현금배당성향(%),76.97,62.67,90.75,113.51,77.65,1.15,1.02,0.97
발행주식수(보통주),48772762.0,48772762.0,48819305.0,48870283.0,48870283.0,,,
