주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,130353.0,131536.0,136400.0,146151.0,158767.0,165468.0,176125.0,185806.0
영업이익,7351.0,5830.0,5038.0,5686.0,5669.0,5722.0,6448.0,6944.0
영업이익(발표기준),7351.0,5830.0,5038.0,5469.0,5669.0,,,
세전계속사업이익,6491.0,4238.0,6938.0,5068.0,7514.0,6346.0,6762.0,7366.0
당기순이익,4762.0,2919.0,4559.0,3816.0,6279.0,4800.0,5111.0,5558.0
당기순이익(지배),4672.0,2900.0,4547.0,3762.0,6161.0,4687.0,5047.0,5496.0
당기순이익(비지배),90.0,19.0,12.0,54.0,119.0,,,
자산총계,130518.0,138275.0,144938.0,154301.0,160665.0,165161.0,171672.0,176685.0
부채총계,63539.0,67677.0,72544.0,73059.0,72951.0,73618.0,75434.0,75264.0
자본총계,66979.0,70597.0,72394.0,81242.0,87714.0,91575.0,96254.0,101402.0
자본총계(지배),65680.0,69078.0,69861.0,76962.0,82417.0,85896.0,90481.0,95534.0
자본총계(비지배),1299.0,1519.0,2533.0,4280.0,5297.0,,,
자본금,1394.0,1394.0,1394.0,1394.0,1394.0,1392.0,1392.0,1392.0
영업활동현금흐름,8027.0,7010.0,7339.0,7356.0,8982.0,11954.0,10276.0,11001.0
투자활동현금흐름,-8957.0,-9578.0,-10039.0,-9161.0,-6218.0,-7875.0,-8550.0,-7497.0
재무활동현금흐름,1109.0,2505.0,2791.0,1846.0,-1214.0,-1824.0,-159.0,-1748.0
CAPEX,8423.0,9591.0,10064.0,6002.0,7228.0,6801.0,7184.0,6246.0
FCF,-396.0,-2581.0,-2725.0,1354.0,1754.0,2778.0,1818.0,3549.0
이자발생부채,34851.0,38397.0,41028.0,38762.0,36593.0,,,
영업이익률,5.64,4.43,3.69,3.89,3.57,3.46,3.66,3.74
순이익률,3.65,2.22,3.34,2.61,3.96,2.9,2.9,2.99
ROE(%),7.42,4.3,6.54,5.13,7.73,5.57,5.72,5.91
ROA(%),3.76,2.17,3.22,2.55,3.99,2.95,3.03,3.19
부채비율,94.86,95.86,100.21,89.93,83.17,80.39,78.37,74.22
자본유보율,3775.5,3937.28,4226.05,4444.69,4808.41,,,
EPS(원),16762.0,10404.0,16312.0,13497.0,22101.0,16813.0,18104.0,19715.0
PER(배),15.9,19.51,11.59,13.56,12.26,12.76,11.85,10.88
BPS(원),235715.0,247910.0,250718.0,276203.0,295780.0,308266.0,324722.0,342857.0
PBR(배),1.13,0.82,0.75,0.66,0.92,0.7,0.66,0.63
현금DPS(원),1500.0,1500.0,1500.0,1500.0,1750.0,1735.0,1744.0,1744.0
현금배당수익률,0.56,0.74,0.79,0.82,0.65,0.81,0.81,0.81
현금배당성향(%),8.95,14.41,9.19,11.11,7.91,0.1,0.1,0.09
발행주식수(보통주),27875819.0,27875819.0,27875819.0,27875819.0,27875819.0,,,
