주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,7555.0,8419.0,6576.0,5060.0,4902.0,3985.0,4339.0,4475.0
영업이익,338.0,666.0,347.0,59.0,181.0,198.0,352.0,290.0
영업이익(발표기준),338.0,666.0,347.0,59.0,181.0,,,
세전계속사업이익,474.0,707.0,365.0,234.0,332.0,233.0,352.0,383.0
당기순이익,344.0,548.0,310.0,178.0,212.0,162.0,240.0,248.0
당기순이익(지배),344.0,548.0,310.0,178.0,212.0,162.0,240.0,248.0
당기순이익(비지배),,,,,,,,
자산총계,7605.0,7776.0,8552.0,7866.0,7622.0,8250.0,8205.0,8210.0
부채총계,3785.0,3705.0,4384.0,3647.0,3051.0,3462.0,3362.0,3328.0
자본총계,3820.0,4071.0,4168.0,4219.0,4570.0,4594.0,4723.0,4835.0
자본총계(지배),3820.0,4071.0,4168.0,4219.0,4570.0,4594.0,4723.0,4835.0
자본총계(비지배),,,,,,,,
자본금,76.0,76.0,76.0,76.0,76.0,78.0,78.0,78.0
영업활동현금흐름,393.0,167.0,113.0,187.0,626.0,565.0,395.0,370.0
투자활동현금흐름,168.0,-141.0,-1349.0,-76.0,-86.0,10.0,-175.0,-120.0
재무활동현금흐름,-768.0,-242.0,627.0,-42.0,-569.0,0.0,-145.0,-135.0
CAPEX,574.0,1462.0,820.0,58.0,14.0,65.0,85.0,85.0
FCF,-181.0,-1295.0,-707.0,129.0,612.0,230.0,430.0,250.0
이자발생부채,74.0,38.0,884.0,918.0,391.0,,,
영업이익률,4.48,7.9,5.27,1.18,3.68,4.97,8.12,6.49
순이익률,4.55,6.5,4.72,3.52,4.33,4.06,5.54,5.55
ROE(%),8.52,13.88,7.54,4.24,4.83,3.54,5.16,5.2
ROA(%),4.24,7.12,3.8,2.17,2.74,2.04,2.92,3.02
부채비율,99.06,91.0,105.18,86.43,66.76,75.36,71.19,68.84
자본유보율,4969.26,5358.98,5485.18,5552.2,6011.37,,,
EPS(원),900.0,1433.0,812.0,466.0,555.0,424.0,628.0,650.0
PER(배),67.2,35.81,42.59,50.79,42.86,49.32,33.26,32.17
BPS(원),9996.0,10702.0,10955.0,11090.0,12013.0,12076.0,12415.0,12709.0
PBR(배),6.05,4.79,3.16,2.13,1.98,1.73,1.68,1.64
현금DPS(원),406.0,575.0,200.0,110.0,220.0,173.0,278.0,269.0
현금배당수익률,0.67,1.12,0.58,0.47,0.92,0.83,1.33,1.29
현금배당성향(%),44.98,39.95,24.51,23.52,39.44,0.41,0.44,0.41
발행주식수(보통주),38220000.0,38220000.0,38220000.0,38220000.0,38220000.0,,,
