주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,960.0,786.0,681.0,789.0,491.0,,,
영업이익,51.0,51.0,36.0,44.0,-64.0,,,
영업이익(발표기준),51.0,51.0,36.0,44.0,-64.0,,,
세전계속사업이익,43.0,44.0,97.0,42.0,-66.0,,,
당기순이익,19.0,30.0,71.0,32.0,-57.0,,,
당기순이익(지배),19.0,30.0,71.0,32.0,-57.0,,,
당기순이익(비지배),,,,,,,,
자산총계,702.0,640.0,691.0,682.0,672.0,,,
부채총계,194.0,120.0,115.0,93.0,163.0,,,
자본총계,508.0,520.0,576.0,589.0,509.0,,,
자본총계(지배),508.0,520.0,576.0,589.0,509.0,,,
자본총계(비지배),,,,,,,,
자본금,60.0,60.0,60.0,60.0,60.0,,,
영업활동현금흐름,54.0,106.0,34.0,10.0,-30.0,,,
투자활동현금흐름,-1.0,-4.0,4.0,10.0,-46.0,,,
재무활동현금흐름,-45.0,-98.0,-42.0,-15.0,58.0,,,
CAPEX,5.0,4.0,61.0,17.0,6.0,,,
FCF,49.0,101.0,-27.0,-7.0,-36.0,,,
이자발생부채,110.0,27.0,,,73.0,,,
영업이익률,5.31,6.54,5.3,5.64,-13.01,,,
순이익률,1.95,3.84,10.45,4.02,-11.62,,,
ROE(%),3.69,5.87,12.98,5.44,-10.39,,,
ROA(%),2.54,4.5,10.69,4.62,-8.42,,,
부채비율,38.13,23.1,19.89,15.8,31.95,,,
자본유보율,693.66,709.54,797.45,830.74,710.86,,,
EPS(원),1563.0,2516.0,5929.0,2641.0,-4752.0,,,
PER(배),13.44,8.73,5.02,11.04,-5.24,,,
BPS(원),42353.0,43324.0,48013.0,49084.0,42431.0,,,
PBR(배),0.5,0.51,0.62,0.59,0.59,,,
현금DPS(원),1250.0,1250.0,1250.0,1250.0,500.0,,,
현금배당수익률,5.95,5.69,4.2,4.29,2.01,,,
현금배당성향(%),79.99,49.69,21.08,47.33,-10.52,,,
발행주식수(보통주),1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,,,
