주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2550.0,2579.0,2955.0,2841.0,2209.0,,,
영업이익,319.0,337.0,542.0,557.0,129.0,,,
영업이익(발표기준),319.0,337.0,542.0,557.0,129.0,,,
세전계속사업이익,223.0,252.0,481.0,515.0,47.0,,,
당기순이익,164.0,193.0,364.0,375.0,44.0,,,
당기순이익(지배),164.0,193.0,364.0,375.0,44.0,,,
당기순이익(비지배),,,,,,,,
자산총계,3235.0,3050.0,3386.0,3789.0,3613.0,,,
부채총계,1697.0,1319.0,1395.0,902.0,758.0,,,
자본총계,1538.0,1730.0,1991.0,2887.0,2855.0,,,
자본총계(지배),1538.0,1730.0,1991.0,2887.0,2855.0,,,
자본총계(비지배),,,,,,,,
자본금,129.0,129.0,129.0,127.0,127.0,,,
영업활동현금흐름,189.0,114.0,508.0,537.0,67.0,,,
투자활동현금흐름,-284.0,43.0,-73.0,-120.0,-95.0,,,
재무활동현금흐름,100.0,-208.0,-348.0,177.0,-76.0,,,
CAPEX,417.0,28.0,92.0,120.0,46.0,,,
FCF,-228.0,86.0,416.0,417.0,21.0,,,
이자발생부채,890.0,682.0,433.0,90.0,90.0,,,
영업이익률,12.52,13.05,18.34,19.6,5.85,,,
순이익률,6.43,7.49,12.3,13.21,1.99,,,
ROE(%),11.26,11.82,19.54,15.38,1.53,,,
ROA(%),5.0,6.15,11.3,10.46,1.19,,,
부채비율,110.29,76.24,70.04,31.25,26.55,,,
자본유보율,1156.64,1305.25,1506.94,2218.4,2193.1,,,
EPS(원),1269.0,1495.0,2813.0,3043.0,346.0,,,
PER(배),,,,6.47,36.75,,,
BPS(원),11905.0,13391.0,15408.0,22677.0,22424.0,,,
PBR(배),0.0,0.0,0.0,0.87,0.57,,,
현금DPS(원),0.0,924.0,0.0,600.0,70.0,,,
현금배당수익률,,,,3.05,0.55,,,
현금배당성향(%),0.0,51.77,0.0,20.36,20.26,,,
발행주식수(보통주),12922030.0,12922030.0,12922030.0,12731947.0,12731947.0,,,
