주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,9188.0,9556.0,9563.0,9598.0,11111.0,,,
영업이익,852.0,810.0,953.0,744.0,698.0,,,
영업이익(발표기준),852.0,810.0,953.0,744.0,698.0,,,
세전계속사업이익,922.0,876.0,1035.0,825.0,888.0,,,
당기순이익,700.0,614.0,786.0,628.0,667.0,,,
당기순이익(지배),700.0,614.0,788.0,628.0,666.0,,,
당기순이익(비지배),,,-2.0,0.0,1.0,,,
자산총계,8702.0,9277.0,10014.0,10865.0,11454.0,,,
부채총계,2221.0,2287.0,2333.0,2600.0,2552.0,,,
자본총계,6480.0,6990.0,7681.0,8265.0,8902.0,,,
자본총계(지배),6480.0,6990.0,7661.0,8261.0,8897.0,,,
자본총계(비지배),,,20.0,4.0,5.0,,,
자본금,70.0,70.0,70.0,70.0,70.0,,,
영업활동현금흐름,566.0,760.0,678.0,794.0,832.0,,,
투자활동현금흐름,-443.0,-643.0,-140.0,-1691.0,-255.0,,,
재무활동현금흐름,86.0,41.0,7.0,136.0,-247.0,,,
CAPEX,250.0,381.0,521.0,712.0,468.0,,,
FCF,317.0,379.0,157.0,82.0,364.0,,,
이자발생부채,902.0,1014.0,1132.0,1370.0,1140.0,,,
영업이익률,9.27,8.48,9.97,7.75,6.29,,,
순이익률,7.62,6.43,8.22,6.54,6.0,,,
ROE(%),11.36,9.12,,7.89,7.76,,,
ROA(%),8.53,6.83,,6.01,5.97,,,
부채비율,34.27,32.72,30.38,31.45,28.67,,,
자본유보율,9167.33,9918.39,10973.22,11817.13,12737.16,,,
EPS(원),5003.0,4386.0,5628.0,4484.0,4754.0,,,
PER(배),10.95,9.01,7.26,8.34,7.52,,,
BPS(원),46479.0,50308.0,55743.0,60111.0,64736.0,,,
PBR(배),1.18,0.79,0.73,0.62,0.55,,,
현금DPS(원),300.0,300.0,350.0,350.0,400.0,,,
현금배당수익률,0.55,0.76,0.86,0.94,1.12,,,
현금배당성향(%),6.0,6.79,6.11,7.66,8.26,,,
발행주식수(보통주),14000000.0,14000000.0,14000000.0,14000000.0,14000000.0,,,
