주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,5081.0,5436.0,7151.0,9536.0,9874.0,,,
영업이익,148.0,119.0,178.0,364.0,554.0,,,
영업이익(발표기준),148.0,119.0,178.0,364.0,554.0,,,
세전계속사업이익,39.0,86.0,194.0,217.0,574.0,,,
당기순이익,-4.0,66.0,141.0,100.0,423.0,,,
당기순이익(지배),-9.0,63.0,122.0,68.0,287.0,,,
당기순이익(비지배),4.0,4.0,18.0,32.0,136.0,,,
자산총계,3537.0,3633.0,6570.0,6717.0,6801.0,,,
부채총계,2128.0,2162.0,4078.0,4126.0,3783.0,,,
자본총계,1409.0,1472.0,2493.0,2592.0,3018.0,,,
자본총계(지배),1392.0,1451.0,1757.0,1829.0,2123.0,,,
자본총계(비지배),17.0,20.0,735.0,763.0,895.0,,,
자본금,298.0,298.0,298.0,298.0,298.0,,,
영업활동현금흐름,96.0,101.0,183.0,605.0,518.0,,,
투자활동현금흐름,-53.0,-149.0,19.0,-373.0,-235.0,,,
재무활동현금흐름,-7.0,18.0,-163.0,-183.0,-279.0,,,
CAPEX,77.0,78.0,151.0,161.0,209.0,,,
FCF,19.0,23.0,32.0,445.0,310.0,,,
이자발생부채,1242.0,1265.0,2529.0,2343.0,2030.0,,,
영업이익률,2.92,2.19,2.49,3.82,5.61,,,
순이익률,-0.08,1.22,1.97,1.05,4.29,,,
ROE(%),-0.61,4.4,7.63,3.82,14.53,,,
ROA(%),-0.12,1.85,2.76,1.51,6.26,,,
부채비율,151.03,146.91,163.6,159.2,125.37,,,
자본유보율,363.61,379.89,482.67,505.6,607.29,,,
EPS(원),-144.0,1048.0,2052.0,1147.0,4813.0,,,
PER(배),-86.97,11.35,8.97,15.78,5.11,,,
BPS(원),23341.0,24329.0,29465.0,30659.0,35596.0,,,
PBR(배),0.54,0.49,0.62,0.59,0.69,,,
현금DPS(원),0.0,200.0,0.0,100.0,150.0,,,
현금배당수익률,0.0,1.68,0.0,0.55,0.61,,,
현금배당성향(%),0.0,19.1,0.0,8.72,3.12,,,
발행주식수(보통주),5960575.0,5960575.0,5960575.0,5960575.0,5960575.0,,,
