주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,1252.0,1218.0,1135.0,1715.0,2122.0,,,
영업이익,85.0,65.0,51.0,85.0,74.0,,,
영업이익(발표기준),85.0,65.0,51.0,85.0,74.0,,,
세전계속사업이익,87.0,60.0,48.0,68.0,83.0,,,
당기순이익,64.0,46.0,28.0,53.0,67.0,,,
당기순이익(지배),64.0,46.0,28.0,41.0,57.0,,,
당기순이익(비지배),,,,12.0,10.0,,,
자산총계,1790.0,1785.0,1825.0,2788.0,2635.0,,,
부채총계,668.0,640.0,673.0,1124.0,926.0,,,
자본총계,1122.0,1144.0,1152.0,1665.0,1710.0,,,
자본총계(지배),1122.0,1144.0,1152.0,1115.0,1148.0,,,
자본총계(비지배),,,,550.0,562.0,,,
자본금,138.0,138.0,138.0,138.0,138.0,,,
영업활동현금흐름,137.0,122.0,104.0,47.0,273.0,,,
투자활동현금흐름,-58.0,-101.0,-188.0,-117.0,-75.0,,,
재무활동현금흐름,-42.0,-15.0,20.0,204.0,-248.0,,,
CAPEX,148.0,102.0,133.0,153.0,76.0,,,
FCF,-11.0,20.0,-29.0,-105.0,197.0,,,
이자발생부채,266.0,283.0,331.0,632.0,428.0,,,
영업이익률,6.76,5.35,4.54,4.94,3.46,,,
순이익률,5.09,3.75,2.43,3.11,3.14,,,
ROE(%),5.92,4.03,2.41,,5.02,,,
ROA(%),3.66,2.55,1.53,,2.46,,,
부채비율,59.54,55.97,58.46,67.48,54.15,,,
자본유보율,649.61,650.35,662.35,653.03,670.72,,,
EPS(원),231.0,166.0,100.0,149.0,206.0,,,
PER(배),9.43,14.92,24.52,19.43,13.44,,,
BPS(원),4067.0,4148.0,4175.0,4043.0,4162.0,,,
PBR(배),0.54,0.6,0.59,0.71,0.67,,,
현금DPS(원),100.0,100.0,100.0,100.0,100.0,,,
현금배당수익률,4.59,4.05,4.07,3.46,3.61,,,
현금배당성향(%),43.25,60.42,99.87,67.23,48.52,,,
발행주식수(보통주),27583100.0,27583100.0,27583100.0,27583100.0,27583100.0,,,
