주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1566.0,1676.0,1702.0,1931.0,1950.0,,,
영업이익,69.0,70.0,50.0,55.0,30.0,,,
영업이익(발표기준),69.0,70.0,50.0,55.0,30.0,,,
세전계속사업이익,110.0,65.0,46.0,53.0,28.0,,,
당기순이익,117.0,9.0,34.0,42.0,19.0,,,
당기순이익(지배),117.0,9.0,34.0,42.0,19.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1693.0,1790.0,1937.0,1994.0,2038.0,,,
부채총계,669.0,782.0,933.0,932.0,842.0,,,
자본총계,1024.0,1008.0,1004.0,1062.0,1196.0,,,
자본총계(지배),1024.0,1008.0,1004.0,1062.0,1196.0,,,
자본총계(비지배),,,,,,,,
자본금,888.0,888.0,888.0,888.0,914.0,,,
영업활동현금흐름,60.0,62.0,88.0,31.0,32.0,,,
투자활동현금흐름,56.0,-114.0,-125.0,-8.0,43.0,,,
재무활동현금흐름,-58.0,-21.0,71.0,-52.0,-50.0,,,
CAPEX,66.0,113.0,138.0,47.0,106.0,,,
FCF,-7.0,-51.0,-50.0,-16.0,-74.0,,,
이자발생부채,203.0,189.0,269.0,226.0,182.0,,,
영업이익률,4.42,4.16,2.97,2.82,1.55,,,
순이익률,7.5,0.54,1.99,2.18,0.96,,,
ROE(%),12.14,0.9,3.37,4.07,1.65,,,
ROA(%),7.09,0.52,1.82,2.14,0.93,,,
부채비율,65.29,77.57,92.88,87.77,70.37,,,
자본유보율,15.35,13.49,13.08,19.55,30.66,,,
EPS(원),66.0,5.0,19.0,24.0,10.0,,,
PER(배),25.41,254.97,111.72,372.81,858.75,,,
BPS(원),577.0,567.0,565.0,598.0,654.0,,,
PBR(배),2.91,2.3,3.77,14.76,13.42,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),177620000.0,177620000.0,177620000.0,177620000.0,182892731.0,,,
