주요재무정보,Unnamed: 1,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,,,15117.0,15305.0,17571.0,19225.0,19430.0,19790.0
영업이익,,,750.0,1221.0,675.0,1430.0,1522.0,1597.0
영업이익(발표기준),,,750.0,1221.0,675.0,,,
세전계속사업이익,,,343.0,584.0,605.0,962.0,1176.0,1287.0
당기순이익,,,221.0,426.0,420.0,692.0,847.0,933.0
당기순이익(지배),,,241.0,426.0,420.0,680.0,835.0,920.0
당기순이익(비지배),,,-20.0,0.0,-1.0,,,
자산총계,,,14454.0,14131.0,17410.0,18255.0,18312.0,18541.0
부채총계,,,10936.0,9661.0,11966.0,12337.0,11737.0,11244.0
자본총계,,,3517.0,4470.0,5444.0,5921.0,6572.0,7293.0
자본총계(지배),,,3342.0,4313.0,5231.0,5704.0,6359.0,7081.0
자본총계(비지배),,,175.0,157.0,213.0,,,
자본금,,,827.0,1007.0,1190.0,1190.0,1190.0,1190.0
영업활동현금흐름,,,1149.0,1544.0,1045.0,1127.0,1598.0,1626.0
투자활동현금흐름,,,-713.0,-491.0,-290.0,-690.0,-516.0,-506.0
재무활동현금흐름,,,-530.0,-1048.0,-715.0,-17.0,-882.0,-782.0
CAPEX,,,653.0,489.0,697.0,703.0,515.0,505.0
FCF,,,496.0,1055.0,348.0,639.0,1183.0,1214.0
이자발생부채,,,8505.0,6903.0,9031.0,,,
영업이익률,,,4.96,7.98,3.84,7.44,7.83,8.07
순이익률,,,1.46,2.78,2.39,3.6,4.36,4.71
ROE(%),,,,11.14,8.81,12.44,13.85,13.69
ROA(%),,,,2.98,2.66,3.88,4.63,5.06
부채비율,,,310.95,216.14,219.8,208.37,178.59,154.17
자본유보율,,,283.99,313.75,328.9,,,
EPS(원),,,1406.0,2325.0,1812.0,2858.0,3509.0,3865.0
PER(배),,,14.13,8.47,7.72,7.24,5.9,5.36
BPS(원),,,19466.0,21424.0,21999.0,23990.0,26742.0,29778.0
PBR(배),,,1.02,0.92,0.64,0.86,0.77,0.7
현금DPS(원),,,481.0,700.0,600.0,700.0,775.0,825.0
현금배당수익률,,,2.42,3.55,4.29,3.38,3.74,3.99
현금배당성향(%),,,34.31,33.05,33.95,0.24,0.22,0.21
발행주식수(보통주),,,17176252.0,20136509.0,23800576.0,,,
