주요재무정보,2014/03,2015/03,2016/03,2017/03,2017,2018(E),2019(E),2020(E)
매출액,620.0,628.0,697.0,716.0,629.0,,,
영업이익,18.0,14.0,16.0,37.0,36.0,,,
영업이익(발표기준),18.0,14.0,16.0,37.0,36.0,,,
세전계속사업이익,26.0,-77.0,-3.0,65.0,48.0,,,
당기순이익,19.0,-74.0,-4.0,61.0,43.0,,,
당기순이익(지배),19.0,-75.0,-3.0,59.0,45.0,,,
당기순이익(비지배),1.0,1.0,-2.0,3.0,-3.0,,,
자산총계,963.0,1014.0,1043.0,1113.0,1215.0,,,
부채총계,240.0,299.0,306.0,330.0,387.0,,,
자본총계,723.0,715.0,737.0,783.0,828.0,,,
자본총계(지배),714.0,704.0,729.0,772.0,820.0,,,
자본총계(비지배),9.0,11.0,9.0,11.0,9.0,,,
자본금,75.0,77.0,78.0,78.0,80.0,,,
영업활동현금흐름,-8.0,14.0,-117.0,98.0,13.0,,,
투자활동현금흐름,-28.0,29.0,-35.0,15.0,-27.0,,,
재무활동현금흐름,83.0,-5.0,139.0,-22.0,23.0,,,
CAPEX,10.0,4.0,21.0,22.0,45.0,,,
FCF,-17.0,10.0,-138.0,76.0,-32.0,,,
이자발생부채,79.0,50.0,174.0,169.0,194.0,,,
영업이익률,2.83,2.18,2.31,5.22,5.68,,,
순이익률,3.12,-11.72,-0.58,8.59,6.82,,,
ROE(%),2.67,-10.53,-0.35,7.85,5.71,,,
ROA(%),2.09,-7.45,-0.39,5.7,3.68,,,
부채비율,33.19,41.84,41.5,42.16,46.67,,,
자본유보율,870.04,764.7,753.88,809.16,839.0,,,
EPS(원),263.0,-1035.0,-34.0,789.0,607.0,,,
PER(배),26.78,-9.71,-390.44,11.38,19.61,,,
BPS(원),12146.0,10659.0,10399.0,11013.0,11362.0,,,
PBR(배),0.58,0.94,1.28,0.82,1.05,,,
현금DPS(원),180.0,180.0,180.0,180.0,190.0,,,
현금배당수익률,2.55,1.79,1.35,2.0,1.6,,,
현금배당성향(%),57.05,-16.1,-504.24,21.65,30.47,,,
발행주식수(보통주),5831450.0,5984918.0,6161406.0,6161406.0,,,,
