주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,381.0,316.0,305.0,318.0,249.0,,,
영업이익,16.0,6.0,2.0,15.0,3.0,,,
영업이익(발표기준),16.0,6.0,2.0,15.0,3.0,,,
세전계속사업이익,23.0,11.0,8.0,18.0,10.0,,,
당기순이익,20.0,8.0,7.0,14.0,8.0,,,
당기순이익(지배),20.0,8.0,7.0,14.0,8.0,,,
당기순이익(비지배),,,,,,,,
자산총계,424.0,424.0,436.0,447.0,411.0,,,
부채총계,115.0,111.0,119.0,122.0,85.0,,,
자본총계,309.0,314.0,318.0,325.0,326.0,,,
자본총계(지배),309.0,314.0,318.0,325.0,326.0,,,
자본총계(비지배),,,,,,,,
자본금,36.0,38.0,38.0,38.0,38.0,,,
영업활동현금흐름,18.0,4.0,13.0,39.0,-7.0,,,
투자활동현금흐름,-7.0,-32.0,-9.0,-6.0,2.0,,,
재무활동현금흐름,-3.0,21.0,-3.0,-14.0,-17.0,,,
CAPEX,12.0,24.0,6.0,0.0,1.0,,,
FCF,5.0,-20.0,7.0,39.0,-7.0,,,
이자발생부채,,25.0,28.0,21.0,12.0,,,
영업이익률,4.31,1.85,0.8,4.65,1.04,,,
순이익률,5.17,2.59,2.22,4.5,3.32,,,
ROE(%),6.51,2.62,2.14,4.46,2.54,,,
ROA(%),4.5,1.92,1.57,3.24,1.93,,,
부채비율,37.19,35.28,37.43,37.72,26.21,,,
자본유보율,768.59,739.6,743.87,764.18,769.26,,,
EPS(원),259.0,107.0,89.0,188.0,109.0,,,
PER(배),9.47,21.87,41.37,22.79,31.85,,,
BPS(원),4216.0,4279.0,4331.0,4427.0,4444.0,,,
PBR(배),0.58,0.55,0.85,0.97,0.78,,,
현금DPS(원),57.0,80.0,90.0,100.0,80.0,,,
현금배당수익률,2.34,3.4,2.45,2.33,2.31,,,
현금배당성향(%),21.33,71.85,97.62,51.26,70.96,,,
발행주식수(보통주),7600000.0,7600000.0,7600000.0,7600000.0,7600000.0,,,
