주요재무정보,2013/09,2014/09,2015/09,2016/09,2017/09,2018/09(E),2019/09(E),2020/09(E)
매출액,1751.0,1775.0,1895.0,2005.0,1855.0,,,
영업이익,61.0,55.0,153.0,200.0,117.0,,,
영업이익(발표기준),61.0,55.0,153.0,200.0,117.0,,,
세전계속사업이익,41.0,45.0,107.0,178.0,114.0,,,
당기순이익,19.0,31.0,77.0,132.0,66.0,,,
당기순이익(지배),4.0,8.0,49.0,95.0,35.0,,,
당기순이익(비지배),15.0,23.0,28.0,37.0,31.0,,,
자산총계,2098.0,2209.0,2318.0,2506.0,2470.0,,,
부채총계,819.0,904.0,929.0,1039.0,970.0,,,
자본총계,1279.0,1304.0,1389.0,1467.0,1500.0,,,
자본총계(지배),785.0,790.0,844.0,909.0,936.0,,,
자본총계(비지배),495.0,514.0,545.0,558.0,564.0,,,
자본금,50.0,50.0,50.0,50.0,50.0,,,
영업활동현금흐름,137.0,208.0,226.0,206.0,185.0,,,
투자활동현금흐름,-129.0,-184.0,-125.0,-183.0,-107.0,,,
재무활동현금흐름,-22.0,34.0,-51.0,47.0,-67.0,,,
CAPEX,120.0,136.0,70.0,149.0,76.0,,,
FCF,17.0,72.0,156.0,58.0,109.0,,,
이자발생부채,454.0,506.0,474.0,544.0,509.0,,,
영업이익률,3.47,3.12,8.06,9.97,6.29,,,
순이익률,1.08,1.75,4.04,6.58,3.58,,,
ROE(%),0.51,1.0,5.99,10.83,3.81,,,
ROA(%),0.89,1.44,3.39,5.47,2.67,,,
부채비율,64.03,69.34,66.88,70.85,64.65,,,
자본유보율,1528.11,1522.74,1600.84,1758.51,1808.38,,,
EPS(원),399.0,786.0,4896.0,9496.0,3516.0,,,
PER(배),72.49,46.4,15.38,9.57,22.04,,,
BPS(원),96947.0,97635.0,104316.0,112242.0,115604.0,,,
PBR(배),0.3,0.37,0.72,0.81,0.67,,,
현금DPS(원),1200.0,1000.0,1500.0,1800.0,1500.0,,,
현금배당수익률,4.15,2.74,1.99,1.98,1.94,,,
현금배당성향(%),243.23,103.04,24.8,15.34,34.53,,,
발행주식수(보통주),1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,
