주요재무정보,Unnamed: 1,Unnamed: 2,2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,,,,,142995.0,266481.0,284788.0,292235.0
영업이익,,,,,8430.0,14515.0,17673.0,19381.0
영업이익(발표기준),,,,,8430.0,,,
세전계속사업이익,,,,,11992.0,12432.0,15695.0,17549.0
당기순이익,,,,,10130.0,9483.0,12038.0,13444.0
당기순이익(지배),,,,,9335.0,7681.0,9776.0,10878.0
당기순이익(비지배),,,,,795.0,,,
자산총계,,,,,208886.0,243869.0,255077.0,264154.0
부채총계,,,,,107867.0,132244.0,132903.0,130599.0
자본총계,,,,,101019.0,111625.0,122175.0,133555.0
자본총계(지배),,,,,74884.0,82197.0,90739.0,99771.0
자본총계(비지배),,,,,26135.0,,,
자본금,,,,,814.0,774.0,774.0,774.0
영업활동현금흐름,,,,,8150.0,16263.0,12807.0,15536.0
투자활동현금흐름,,,,,-6554.0,-16632.0,-8547.0,-8349.0
재무활동현금흐름,,,,,3956.0,3006.0,-3769.0,-4771.0
CAPEX,,,,,7207.0,6633.0,7511.0,7476.0
FCF,,,,,943.0,2640.0,4906.0,7966.0
이자발생부채,,,,,63312.0,,,
영업이익률,,,,,5.9,5.45,6.21,6.63
순이익률,,,,,7.08,3.56,4.23,4.6
ROE(%),,,,,,9.78,11.31,11.42
ROA(%),,,,,,4.19,4.83,5.18
부채비율,,,,,106.78,118.47,108.78,97.79
자본유보율,,,,,9481.86,,,
EPS(원),,,,,86646.0,47163.0,60024.0,66789.0
PER(배),,,,,4.4,8.0,6.29,5.65
BPS(원),,,,,512140.0,562159.0,620581.0,682349.0
PBR(배),,,,,0.74,0.67,0.61,0.55
현금DPS(원),,,,,,7000.0,10219.0,11032.0
현금배당수익률,,,,,,1.85,2.71,2.92
현금배당성향(%),,,,,0.0,0.15,0.17,0.17
발행주식수(보통주),,,,,16286617.0,,,
