주요재무정보,2013/06,2014/06,2015/06,2016/06,2017/06,2018/06(E),2019/06(E),2020/06(E)
매출액,984.0,746.0,587.0,522.0,559.0,,,
영업이익,21.0,-39.0,-30.0,17.0,-25.0,,,
영업이익(발표기준),21.0,-39.0,-30.0,17.0,-25.0,,,
세전계속사업이익,1.0,-69.0,-38.0,-4.0,-38.0,,,
당기순이익,-1.0,-75.0,-46.0,-4.0,-42.0,,,
당기순이익(지배),-1.0,-75.0,-46.0,-4.0,-42.0,,,
당기순이익(비지배),,,,,,,,
자산총계,946.0,891.0,864.0,911.0,849.0,,,
부채총계,624.0,639.0,613.0,572.0,555.0,,,
자본총계,323.0,252.0,250.0,339.0,295.0,,,
자본총계(지배),323.0,252.0,250.0,339.0,295.0,,,
자본총계(비지배),,,,,,,,
자본금,83.0,83.0,83.0,120.0,120.0,,,
영업활동현금흐름,98.0,-63.0,36.0,54.0,-6.0,,,
투자활동현금흐름,-103.0,-73.0,-53.0,-24.0,-43.0,,,
재무활동현금흐름,22.0,115.0,7.0,29.0,-2.0,,,
CAPEX,87.0,84.0,62.0,33.0,49.0,,,
FCF,11.0,-147.0,-26.0,21.0,-55.0,,,
이자발생부채,304.0,423.0,430.0,366.0,363.0,,,
영업이익률,2.12,-5.19,-5.1,3.32,-4.5,,,
순이익률,-0.13,-9.99,-7.89,-0.82,-7.48,,,
ROE(%),-0.38,-25.96,-18.44,-1.45,-13.21,,,
ROA(%),-0.13,-8.12,-5.28,-0.48,-4.76,,,
부채비율,193.2,253.54,244.94,168.87,188.26,,,
자본유보율,292.45,204.38,150.55,146.5,109.76,,,
EPS(원),-6.0,-392.0,-243.0,-20.0,-174.0,,,
PER(배),-204.14,-2.74,-4.29,-100.98,-7.23,,,
BPS(원),1696.0,1323.0,1315.0,1411.0,1227.0,,,
PBR(배),0.78,0.81,0.79,1.42,1.03,,,
현금DPS(원),17.0,0.0,0.0,0.0,,,,
현금배당수익률,1.32,0.0,0.0,0.0,,,,
현금배당성향(%),-269.15,0.0,0.0,0.0,,,,
발행주식수(보통주),19034625.0,19034625.0,19034625.0,24000000.0,24000000.0,,,
