주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,11761.0,11611.0,9121.0,8677.0,9598.0,10297.0,10875.0,10870.0
영업이익,313.0,412.0,323.0,750.0,751.0,677.0,780.0,780.0
영업이익(발표기준),313.0,412.0,323.0,750.0,751.0,,,
세전계속사업이익,357.0,363.0,345.0,703.0,874.0,702.0,777.0,780.0
당기순이익,266.0,262.0,280.0,534.0,647.0,530.0,580.0,590.0
당기순이익(지배),272.0,266.0,283.0,538.0,651.0,530.0,583.0,590.0
당기순이익(비지배),-5.0,-4.0,-4.0,-4.0,-4.0,,,
자산총계,4107.0,3976.0,3327.0,4084.0,4578.0,4840.0,5370.0,5840.0
부채총계,2495.0,2162.0,1271.0,1553.0,1572.0,1510.0,1570.0,1570.0
자본총계,1612.0,1814.0,2056.0,2531.0,3007.0,3320.0,3800.0,4270.0
자본총계(지배),1634.0,1841.0,2087.0,2565.0,3042.0,3360.0,3840.0,4310.0
자본총계(비지배),-22.0,-27.0,-31.0,-34.0,-36.0,,,
자본금,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
영업활동현금흐름,588.0,259.0,729.0,673.0,312.0,620.0,630.0,660.0
투자활동현금흐름,-37.0,-52.0,-45.0,-235.0,33.0,-100.0,-40.0,-40.0
재무활동현금흐름,-692.0,-249.0,-673.0,-37.0,-93.0,-50.0,-110.0,-110.0
CAPEX,114.0,68.0,39.0,51.0,141.0,110.0,40.0,40.0
FCF,475.0,191.0,689.0,623.0,172.0,510.0,590.0,620.0
이자발생부채,1258.0,1103.0,495.0,528.0,567.0,,,
영업이익률,2.66,3.55,3.54,8.64,7.83,6.58,7.17,7.18
순이익률,2.26,2.26,3.06,6.15,6.74,5.15,5.33,5.43
ROE(%),18.06,15.3,14.43,23.11,23.22,16.56,16.19,14.48
ROA(%),6.09,6.48,7.66,14.4,14.95,11.25,11.36,10.53
부채비율,154.77,119.21,61.85,61.37,52.27,45.48,41.32,36.77
자본유보율,927.21,1056.39,1208.2,1499.37,1838.24,,,
EPS(원),848.0,830.0,884.0,1678.0,2032.0,1654.0,1820.0,1841.0
PER(배),6.89,7.53,6.17,7.51,8.64,6.83,6.21,6.14
BPS(원),5104.0,5748.0,6516.0,8009.0,9638.0,10645.0,12166.0,13655.0
PBR(배),1.14,1.09,0.84,1.57,1.82,1.06,0.93,0.83
현금DPS(원),150.0,190.0,190.0,300.0,350.0,350.0,350.0,350.0
현금배당수익률,2.57,3.04,3.48,2.38,1.99,3.1,3.1,3.1
현금배당성향(%),17.69,22.89,21.48,17.87,16.97,0.21,0.19,0.19
발행주식수(보통주),32040000.0,32040000.0,32040000.0,32040000.0,32040000.0,,,
