주요재무정보,2013(GAAP개별),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,4351.0,5746.0,6762.0,6771.0,6131.0,6308.0,,
영업이익,-135.0,-26.0,454.0,592.0,319.0,297.0,,
영업이익(발표기준),-135.0,-26.0,454.0,592.0,319.0,,,
세전계속사업이익,-35.0,-41.0,198.0,455.0,312.0,220.0,,
당기순이익,-28.0,-24.0,183.0,347.0,232.0,,,
당기순이익(지배),-28.0,-24.0,183.0,347.0,234.0,168.0,,
당기순이익(비지배),,,,,-1.0,,,
자산총계,3924.0,6292.0,6555.0,6732.0,6756.0,,,
부채총계,2802.0,4669.0,4665.0,3686.0,3519.0,,,
자본총계,1122.0,1623.0,1890.0,3046.0,3237.0,,,
자본총계(지배),1122.0,1623.0,1890.0,3046.0,3232.0,,,
자본총계(비지배),,,,,5.0,,,
자본금,9.0,9.0,10.0,108.0,109.0,,,
영업활동현금흐름,-7.0,130.0,-131.0,816.0,283.0,,,
투자활동현금흐름,-236.0,-347.0,-288.0,147.0,-132.0,,,
재무활동현금흐름,199.0,165.0,532.0,-417.0,81.0,,,
CAPEX,301.0,558.0,308.0,125.0,196.0,,,
FCF,-308.0,-429.0,-439.0,691.0,87.0,,,
이자발생부채,1644.0,2790.0,3363.0,2303.0,2351.0,,,
영업이익률,-3.1,-0.45,6.71,8.75,5.2,4.71,,
순이익률,-0.63,-0.42,2.71,5.13,3.79,,,
ROE(%),-2.47,-1.76,10.43,14.06,7.45,,,
ROA(%),-0.7,-0.43,2.85,5.22,3.45,,,
부채비율,249.72,287.72,246.85,121.02,108.74,,,
자본유보율,12633.76,20630.59,18303.99,2713.08,2875.56,,,
EPS(원),-207.0,-180.0,1372.0,2106.0,1069.0,768.0,,
PER(배),,,,4.4,8.46,10.53,,
BPS(원),8412.0,12165.0,12925.0,13932.0,14783.0,,,
PBR(배),0.0,0.0,0.0,0.66,0.61,,,
현금DPS(원),0.0,0.0,0.0,178.0,100.0,,,
현금배당수익률,,,,1.92,1.1,,,
현금배당성향(%),0.0,0.0,0.0,11.23,9.35,,,
발행주식수(보통주),13339817.0,13339817.0,14621467.0,21863268.0,21863268.0,,,
