주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1738.0,1511.0,1480.0,1594.0,1645.0,,,
영업이익,-58.0,-32.0,-85.0,109.0,7.0,,,
영업이익(발표기준),-58.0,-32.0,-85.0,109.0,7.0,,,
세전계속사업이익,-627.0,-219.0,-353.0,60.0,-31.0,,,
당기순이익,-628.0,-220.0,-346.0,55.0,-25.0,,,
당기순이익(지배),-628.0,-220.0,-346.0,55.0,-25.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2088.0,1770.0,1701.0,1723.0,1737.0,,,
부채총계,1861.0,1672.0,1668.0,1596.0,1551.0,,,
자본총계,227.0,97.0,33.0,127.0,186.0,,,
자본총계(지배),227.0,97.0,33.0,127.0,186.0,,,
자본총계(비지배),,,,,,,,
자본금,435.0,635.0,197.0,235.0,296.0,,,
영업활동현금흐름,-149.0,-19.0,-135.0,59.0,-33.0,,,
투자활동현금흐름,-13.0,8.0,-19.0,-44.0,-34.0,,,
재무활동현금흐름,185.0,35.0,152.0,-19.0,73.0,,,
CAPEX,35.0,30.0,32.0,36.0,38.0,,,
FCF,-184.0,-49.0,-168.0,23.0,-71.0,,,
이자발생부채,1238.0,1089.0,1143.0,1085.0,1074.0,,,
영업이익률,-3.33,-2.09,-5.72,6.82,0.44,,,
순이익률,-36.16,-14.57,-23.41,3.43,-1.51,,,
ROE(%),-117.24,-135.83,-529.31,68.26,-15.84,,,
ROA(%),-27.96,-11.41,-19.96,3.2,-1.43,,,
부채비율,821.08,1715.73,4990.1,1257.29,833.66,,,
자본유보율,-47.41,-83.6,-141.36,-94.85,-75.92,,,
EPS(원),-7406.0,-2444.0,-1907.0,277.0,-105.0,,,
PER(배),-0.22,-0.75,-1.14,7.78,-14.17,,,
BPS(원),2774.0,807.0,170.0,540.0,629.0,,,
PBR(배),0.59,2.29,12.81,4.0,2.37,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),8483529.0,12382950.0,19682220.0,23499013.0,23499013.0,,,
