주요재무정보,2013(GAAP개별),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1013.0,1115.0,1133.0,636.0,1059.0,1220.0,1500.0,
영업이익,84.0,141.0,111.0,53.0,120.0,123.0,200.0,
영업이익(발표기준),84.0,141.0,111.0,53.0,120.0,,,
세전계속사업이익,85.0,157.0,111.0,31.0,95.0,111.0,190.0,
당기순이익,65.0,125.0,95.0,5.0,76.0,88.0,152.0,
당기순이익(지배),65.0,125.0,95.0,5.0,76.0,88.0,152.0,
당기순이익(비지배),,,,,,,,
자산총계,794.0,1194.0,1114.0,1644.0,1598.0,1631.0,,
부채총계,160.0,261.0,536.0,930.0,718.0,667.0,,
자본총계,634.0,932.0,578.0,714.0,880.0,964.0,,
자본총계(지배),634.0,932.0,578.0,714.0,880.0,964.0,,
자본총계(비지배),,,,,,,,
자본금,36.0,36.0,36.0,36.0,38.0,38.0,,
영업활동현금흐름,101.0,165.0,135.0,54.0,122.0,134.0,,
투자활동현금흐름,-64.0,-99.0,1.0,-1029.0,-38.0,-43.0,,
재무활동현금흐름,-62.0,-7.0,-151.0,1008.0,-103.0,-101.0,,
CAPEX,30.0,33.0,48.0,13.0,16.0,20.0,,
FCF,71.0,132.0,87.0,40.0,106.0,,,
이자발생부채,13.0,6.0,304.0,613.0,424.0,,,
영업이익률,8.33,12.67,9.83,8.4,11.29,10.09,13.33,
순이익률,6.38,11.21,8.41,0.77,7.23,7.21,10.13,
ROE(%),10.75,,12.62,0.76,9.6,9.54,,
ROA(%),7.96,,8.26,0.36,4.72,5.45,,
부채비율,25.19,28.02,92.64,130.33,81.51,69.13,,
자본유보율,1686.82,2522.98,1529.26,1908.76,2233.21,,,
EPS(원),915.0,1761.0,1802.0,115.0,1747.0,1865.0,3222.0,
PER(배),,,,,18.32,15.04,8.71,
BPS(원),8934.0,13131.0,13525.0,16704.0,18660.0,20440.0,,
PBR(배),0.0,0.0,0.0,0.0,1.71,1.37,,
현금DPS(원),0.0,0.0,0.0,0.0,,0.0,,
현금배당수익률,,,,,,0.0,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),7100000.0,7100000.0,4274000.0,4274000.0,4717650.0,,,
