주요재무정보,2013/09,2014/09,2015/09,2016/09,2017/09,2018/09(E),2019/09(E),2020/09(E)
매출액,1938.0,1614.0,1616.0,1507.0,1481.0,,,
영업이익,36.0,44.0,65.0,79.0,63.0,,,
영업이익(발표기준),36.0,44.0,65.0,79.0,63.0,,,
세전계속사업이익,22.0,51.0,81.0,67.0,86.0,,,
당기순이익,15.0,34.0,67.0,50.0,70.0,,,
당기순이익(지배),15.0,34.0,67.0,50.0,70.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2808.0,2610.0,2592.0,2495.0,2526.0,,,
부채총계,1095.0,880.0,805.0,670.0,678.0,,,
자본총계,1713.0,1730.0,1787.0,1825.0,1848.0,,,
자본총계(지배),1713.0,1730.0,1787.0,1825.0,1848.0,,,
자본총계(비지배),,,,,,,,
자본금,212.0,212.0,212.0,212.0,212.0,,,
영업활동현금흐름,-19.0,88.0,178.0,237.0,116.0,,,
투자활동현금흐름,-48.0,73.0,-40.0,-101.0,88.0,,,
재무활동현금흐름,76.0,-195.0,-133.0,-124.0,-73.0,,,
CAPEX,47.0,30.0,32.0,46.0,66.0,,,
FCF,-66.0,57.0,146.0,191.0,49.0,,,
이자발생부채,875.0,676.0,602.0,481.0,467.0,,,
영업이익률,1.84,2.7,4.02,5.22,4.28,,,
순이익률,0.76,2.08,4.13,3.34,4.73,,,
ROE(%),0.86,1.95,3.79,2.78,3.81,,,
ROA(%),0.53,1.24,2.56,1.98,2.79,,,
부채비율,63.93,50.85,45.07,36.71,36.68,,,
자본유보율,761.29,770.36,796.27,814.61,839.82,,,
EPS(원),347.0,792.0,1577.0,1188.0,1655.0,,,
PER(배),33.25,27.89,17.16,20.54,12.35,,,
BPS(원),42357.0,42782.0,44175.0,45154.0,47373.0,,,
PBR(배),0.27,0.52,0.61,0.54,0.43,,,
현금DPS(원),250.0,250.0,300.0,380.0,520.0,,,
현금배당수익률,2.16,1.13,1.11,1.56,2.54,,,
현금배당성향(%),68.79,30.16,17.72,30.57,28.96,,,
발행주식수(보통주),4231409.0,4231409.0,4231409.0,4231409.0,4231409.0,,,
