주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,80.0,118.0,89.0,115.0,71.0,,,
영업이익,-13.0,-13.0,-49.0,-21.0,-15.0,,,
영업이익(발표기준),-13.0,-13.0,-49.0,-21.0,-15.0,,,
세전계속사업이익,-14.0,-16.0,-57.0,-23.0,-12.0,,,
당기순이익,-14.0,-16.0,-57.0,-23.0,-12.0,,,
당기순이익(지배),-14.0,-16.0,-57.0,-23.0,-12.0,,,
당기순이익(비지배),,,,,,,,
자산총계,100.0,71.0,146.0,124.0,134.0,,,
부채총계,63.0,30.0,68.0,66.0,21.0,,,
자본총계,37.0,41.0,78.0,58.0,113.0,,,
자본총계(지배),37.0,41.0,78.0,58.0,113.0,,,
자본총계(비지배),,,,,,,,
자본금,56.0,67.0,100.0,100.0,118.0,,,
영업활동현금흐름,-11.0,-7.0,-110.0,3.0,-4.0,,,
투자활동현금흐름,-6.0,5.0,-1.0,0.0,-43.0,,,
재무활동현금흐름,26.0,-5.0,109.0,-1.0,46.0,,,
CAPEX,1.0,0.0,1.0,,,,,
FCF,-12.0,-7.0,-111.0,3.0,-4.0,,,
이자발생부채,37.0,12.0,28.0,26.0,4.0,,,
영업이익률,-16.12,-10.85,-55.81,-18.46,-21.64,,,
순이익률,-17.33,-13.71,-64.14,-19.54,-17.11,,,
ROE(%),-33.68,-41.37,-95.37,-33.29,-14.18,,,
ROA(%),-14.95,-18.84,-52.48,-16.75,-9.4,,,
부채비율,172.58,72.39,86.66,115.17,18.24,,,
자본유보율,-33.14,-37.61,-21.28,-41.74,-3.5,,,
EPS(원),-123.0,-141.0,-306.0,-113.0,-55.0,,,
PER(배),-8.46,-8.86,-5.12,-18.2,-48.38,,,
BPS(원),327.0,306.0,390.0,287.0,479.0,,,
PBR(배),3.18,4.09,4.03,7.14,5.55,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),11226327.0,13486068.0,20027281.0,20027281.0,23641211.0,,,
