주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,752.0,732.0,747.0,797.0,824.0,,,
영업이익,-20.0,-18.0,12.0,-23.0,10.0,,,
영업이익(발표기준),-20.0,-18.0,12.0,-23.0,10.0,,,
세전계속사업이익,-31.0,-30.0,7.0,-25.0,-6.0,,,
당기순이익,-20.0,-109.0,5.0,-17.0,-2.0,,,
당기순이익(지배),-20.0,-109.0,5.0,-17.0,-2.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1271.0,1343.0,1241.0,1254.0,1242.0,,,
부채총계,656.0,787.0,664.0,698.0,599.0,,,
자본총계,615.0,556.0,577.0,556.0,643.0,,,
자본총계(지배),615.0,556.0,577.0,556.0,643.0,,,
자본총계(비지배),,,,,,,,
자본금,218.0,218.0,224.0,224.0,248.0,,,
영업활동현금흐름,-26.0,36.0,-93.0,-33.0,18.0,,,
투자활동현금흐름,-14.0,-119.0,64.0,-9.0,6.0,,,
재무활동현금흐름,15.0,80.0,2.0,25.0,-10.0,,,
CAPEX,11.0,13.0,6.0,27.0,26.0,,,
FCF,-36.0,24.0,-99.0,-61.0,-8.0,,,
이자발생부채,388.0,401.0,395.0,401.0,312.0,,,
영업이익률,-2.62,-2.5,1.6,-2.87,1.16,,,
순이익률,-2.65,-14.96,0.61,-2.08,-0.24,,,
ROE(%),-3.2,-18.7,0.8,-2.93,-0.33,,,
ROA(%),-1.52,-8.38,0.35,-1.33,-0.16,,,
부채비율,106.72,141.46,114.98,125.43,93.22,,,
자본유보율,201.29,168.87,170.72,161.28,171.4,,,
EPS(원),-92.0,-503.0,20.0,-74.0,-9.0,,,
PER(배),-36.59,-8.49,242.69,-56.54,-572.42,,,
BPS(원),3360.0,2882.0,2896.0,2790.0,2884.0,,,
PBR(배),1.0,1.48,1.71,1.5,1.72,,,
현금DPS(원),30.0,0.0,0.0,0.0,,,,
현금배당수익률,0.89,0.0,0.0,0.0,,,,
현금배당성향(%),-27.61,0.0,0.0,0.0,,,,
발행주식수(보통주),21766460.0,21766460.0,22404756.0,22404756.0,24756574.0,,,
