주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,14996.0,15328.0,16417.0,17648.0,18126.0,19373.0,20702.0,22011.0
영업이익,402.0,526.0,411.0,-153.0,216.0,428.0,611.0,714.0
영업이익(발표기준),402.0,526.0,411.0,-153.0,216.0,,,
세전계속사업이익,-60.0,598.0,1302.0,671.0,-468.0,962.0,301.0,417.0
당기순이익,-84.0,418.0,987.0,376.0,-470.0,670.0,229.0,320.0
당기순이익(지배),-69.0,435.0,1003.0,396.0,-449.0,658.0,224.0,315.0
당기순이익(비지배),-15.0,-17.0,-16.0,-20.0,-21.0,,,
자산총계,18074.0,19559.0,25037.0,25376.0,24538.0,25553.0,26889.0,28968.0
부채총계,11033.0,11700.0,17692.0,17673.0,15846.0,15944.0,17017.0,18423.0
자본총계,7041.0,7859.0,7345.0,7703.0,8692.0,9270.0,9432.0,9684.0
자본총계(지배),6928.0,7748.0,7174.0,7553.0,7172.0,7741.0,7898.0,8146.0
자본총계(비지배),113.0,111.0,171.0,149.0,1520.0,,,
자본금,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
영업활동현금흐름,1070.0,856.0,631.0,409.0,319.0,1293.0,1838.0,3131.0
투자활동현금흐름,-519.0,-202.0,-650.0,367.0,1534.0,63.0,-208.0,-226.0
재무활동현금흐름,-429.0,142.0,215.0,-841.0,-2337.0,1011.0,1028.0,984.0
CAPEX,424.0,1069.0,1467.0,701.0,731.0,662.0,672.0,714.0
FCF,646.0,-213.0,-836.0,-292.0,-412.0,-110.0,520.0,623.0
이자발생부채,7621.0,8141.0,13173.0,13102.0,9546.0,,,
영업이익률,2.68,3.43,2.51,-0.87,1.19,2.21,2.95,3.24
순이익률,-0.56,2.73,6.01,2.13,-2.59,3.46,1.1,1.46
ROE(%),-0.96,5.93,13.44,5.37,-6.1,8.82,2.86,3.92
ROA(%),-0.46,2.22,4.43,1.49,-1.88,2.68,0.87,1.15
부채비율,156.7,148.88,240.87,229.44,182.3,172.0,180.42,190.24
자본유보율,837.5,902.38,1053.31,1114.18,1038.32,,,
EPS(원),-577.0,3634.0,8373.0,3304.0,-3750.0,5492.0,1869.0,2628.0
PER(배),-33.01,14.92,5.54,8.72,-6.93,5.4,15.87,11.28
BPS(원),58691.0,65641.0,60777.0,63994.0,60765.0,65582.0,66909.0,69015.0
PBR(배),0.32,0.83,0.76,0.45,0.43,0.45,0.44,0.43
현금DPS(원),250.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
현금배당수익률,1.31,0.74,0.86,1.39,1.54,1.35,1.35,1.35
현금배당성향(%),-42.71,10.85,4.71,11.93,-10.51,0.07,0.21,0.15
발행주식수(보통주),11974656.0,11974656.0,11974656.0,11974656.0,11974656.0,,,
