주요재무정보,2013(GAAP개별),2014(GAAP개별),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2460.0,2451.0,2969.0,3170.0,3284.0,3210.0,3392.0,
영업이익,129.0,157.0,250.0,280.0,151.0,213.0,248.0,
영업이익(발표기준),129.0,157.0,250.0,280.0,151.0,,,
세전계속사업이익,100.0,177.0,343.0,250.0,69.0,,,
당기순이익,78.0,138.0,258.0,161.0,44.0,,,
당기순이익(지배),78.0,138.0,258.0,159.0,45.0,,,
당기순이익(비지배),,,,2.0,-1.0,,,
자산총계,1055.0,1298.0,2283.0,2427.0,2853.0,,,
부채총계,586.0,692.0,1692.0,1531.0,1637.0,,,
자본총계,468.0,606.0,591.0,896.0,1215.0,,,
자본총계(지배),468.0,606.0,588.0,891.0,1211.0,,,
자본총계(비지배),,,3.0,5.0,4.0,,,
자본금,22.0,22.0,34.0,41.0,50.0,,,
영업활동현금흐름,12.0,-28.0,149.0,134.0,-180.0,,,
투자활동현금흐름,23.0,-159.0,-196.0,9.0,-250.0,,,
재무활동현금흐름,165.0,57.0,9.0,-102.0,486.0,,,
CAPEX,1.0,1.0,10.0,114.0,153.0,,,
FCF,12.0,-29.0,139.0,20.0,-332.0,,,
이자발생부채,530.0,602.0,1292.0,1162.0,1245.0,,,
영업이익률,5.26,6.4,8.41,8.83,4.59,6.64,7.31,
순이익률,3.17,5.62,8.7,5.07,1.35,,,
ROE(%),19.55,25.63,43.26,21.53,4.29,,,
ROA(%),8.42,11.71,14.04,6.83,1.68,,,
부채비율,125.14,114.15,286.37,170.85,134.76,,,
자본유보율,2078.74,2719.12,2414.48,2657.7,3013.19,,,
EPS(원),1509.0,2307.0,4324.0,2455.0,547.0,,,
PER(배),,,,,23.93,,,
BPS(원),7848.0,10155.0,9478.0,12961.0,14871.0,,,
PBR(배),0.0,0.0,0.0,0.0,0.88,,,
현금DPS(원),0.0,0.0,0.0,0.0,150.0,,,
현금배당수익률,,,,,1.15,,,
현금배당성향(%),0.0,0.0,0.0,0.0,27.11,,,
발행주식수(보통주),5168480.0,5168480.0,5405345.0,6871990.0,8000000.0,,,
