주요재무정보,2013,2014,2015,2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,430.0,435.0,499.0,439.0,565.0,,,
영업이익,16.0,12.0,17.0,7.0,9.0,,,
영업이익(발표기준),16.0,12.0,17.0,7.0,9.0,,,
세전계속사업이익,7.0,2.0,11.0,3.0,2.0,,,
당기순이익,7.0,2.0,11.0,3.0,2.0,,,
당기순이익(지배),8.0,4.0,14.0,3.0,2.0,,,
당기순이익(비지배),-1.0,-2.0,-3.0,,,,,
자산총계,495.0,515.0,584.0,626.0,769.0,,,
부채총계,248.0,268.0,325.0,358.0,502.0,,,
자본총계,247.0,247.0,259.0,269.0,267.0,,,
자본총계(지배),245.0,247.0,259.0,269.0,267.0,,,
자본총계(비지배),2.0,0.0,0.0,,,,,
자본금,333.0,333.0,333.0,340.0,340.0,,,
영업활동현금흐름,37.0,20.0,44.0,11.0,37.0,,,
투자활동현금흐름,-45.0,-32.0,-81.0,-70.0,-100.0,,,
재무활동현금흐름,2.0,12.0,39.0,54.0,107.0,,,
CAPEX,32.0,34.0,82.0,58.0,98.0,,,
FCF,5.0,-14.0,-38.0,-47.0,-61.0,,,
이자발생부채,183.0,196.0,232.0,266.0,349.0,,,
영업이익률,3.62,2.73,3.48,1.48,1.6,,,
순이익률,1.68,0.57,2.29,0.66,0.34,,,
ROE(%),3.51,1.67,5.54,1.1,0.71,,,
ROA(%),1.45,0.49,2.08,0.48,0.27,,,
부채비율,100.52,108.65,125.54,133.21,187.92,,,
자본유보율,-27.69,-27.2,-23.63,-21.5,-21.37,,,
EPS(원),3.0,1.0,4.0,1.0,1.0,,,
PER(배),37.37,67.18,37.68,175.99,460.31,,,
BPS(원),74.0,74.0,78.0,79.0,79.0,,,
PBR(배),1.29,1.12,2.04,1.95,3.27,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),330410000.0,330410000.0,330410000.0,337410000.0,337410000.0,,,
