주요재무정보,2013/06,2014/06,2015/06,2016/06,2017/06,2018/06(E),2019/06(E),2020/06(E)
매출액,2455.0,2557.0,2321.0,2149.0,2142.0,,,
영업이익,35.0,41.0,68.0,54.0,29.0,,,
영업이익(발표기준),35.0,41.0,68.0,54.0,29.0,,,
세전계속사업이익,62.0,67.0,94.0,52.0,55.0,,,
당기순이익,52.0,53.0,71.0,40.0,42.0,,,
당기순이익(지배),52.0,53.0,71.0,40.0,42.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2694.0,2637.0,2723.0,2700.0,2494.0,,,
부채총계,569.0,459.0,479.0,437.0,206.0,,,
자본총계,2125.0,2178.0,2244.0,2264.0,2288.0,,,
자본총계(지배),2125.0,2178.0,2244.0,2264.0,2288.0,,,
자본총계(비지배),,,,,,,,
자본금,42.0,42.0,42.0,42.0,42.0,,,
영업활동현금흐름,124.0,29.0,272.0,202.0,51.0,,,
투자활동현금흐름,-234.0,0.0,-324.0,-140.0,170.0,,,
재무활동현금흐름,98.0,-23.0,-7.0,-72.0,-207.0,,,
CAPEX,100.0,17.0,13.0,13.0,12.0,,,
FCF,24.0,12.0,259.0,189.0,39.0,,,
이자발생부채,300.0,253.0,237.0,209.0,7.0,,,
영업이익률,1.44,1.59,2.94,2.5,1.35,,,
순이익률,2.13,2.06,3.04,1.87,1.95,,,
ROE(%),2.5,2.45,3.2,1.78,1.84,,,
ROA(%),1.99,1.98,2.64,1.48,1.61,,,
부채비율,26.79,21.07,21.33,19.29,9.03,,,
자본유보율,5404.78,5517.73,5664.2,5738.0,5838.29,,,
EPS(원),1259.0,1271.0,1703.0,967.0,1007.0,,,
PER(배),11.99,12.0,13.45,18.61,19.36,,,
BPS(원),66227.0,67877.0,69865.0,72262.0,73027.0,,,
PBR(배),0.23,0.22,0.33,0.25,0.27,,,
현금DPS(원),150.0,150.0,150.0,150.0,150.0,,,
현금배당수익률,0.99,0.98,0.66,0.83,0.77,,,
현금배당성향(%),9.21,9.13,6.82,11.71,11.24,,,
발행주식수(보통주),4150000.0,4150000.0,4150000.0,4150000.0,4150000.0,,,
