주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1584.0,1551.0,1607.0,2086.0,2624.0,,,
영업이익,175.0,189.0,148.0,134.0,57.0,,,
영업이익(발표기준),175.0,189.0,148.0,134.0,57.0,,,
세전계속사업이익,617.0,152.0,144.0,107.0,-34.0,,,
당기순이익,461.0,106.0,81.0,62.0,-55.0,,,
당기순이익(지배),461.0,107.0,83.0,63.0,-53.0,,,
당기순이익(비지배),0.0,-1.0,-1.0,-1.0,-2.0,,,
자산총계,3448.0,3788.0,4085.0,4140.0,5998.0,,,
부채총계,1631.0,1663.0,1904.0,1896.0,3932.0,,,
자본총계,1817.0,2125.0,2181.0,2244.0,2066.0,,,
자본총계(지배),1815.0,2117.0,2175.0,2239.0,2145.0,,,
자본총계(비지배),2.0,8.0,6.0,5.0,-79.0,,,
자본금,353.0,419.0,419.0,419.0,453.0,,,
영업활동현금흐름,-20.0,299.0,40.0,-147.0,52.0,,,
투자활동현금흐름,382.0,-37.0,-34.0,-159.0,-376.0,,,
재무활동현금흐름,-362.0,79.0,207.0,112.0,110.0,,,
CAPEX,42.0,64.0,79.0,92.0,70.0,,,
FCF,-62.0,235.0,-39.0,-240.0,-18.0,,,
이자발생부채,1118.0,1061.0,1305.0,1502.0,2958.0,,,
영업이익률,11.05,12.17,9.23,6.41,2.18,,,
순이익률,29.11,6.83,5.06,2.98,-2.1,,,
ROE(%),28.35,5.44,3.86,2.86,-2.42,,,
ROA(%),13.81,2.93,2.07,1.51,-1.09,,,
부채비율,89.74,78.27,87.29,84.47,190.29,,,
자본유보율,462.29,438.67,448.1,453.9,415.69,,,
EPS(원),654.0,134.0,99.0,75.0,-59.0,,,
PER(배),3.46,25.72,35.15,34.06,-39.69,,,
BPS(원),2770.0,2685.0,2757.0,2839.0,2508.0,,,
PBR(배),0.82,1.29,1.26,0.9,0.94,,,
현금DPS(원),50.0,50.0,50.0,50.0,50.0,,,
현금배당수익률,2.21,1.45,1.44,1.95,2.13,,,
현금배당성향(%),7.11,36.84,47.63,62.43,-80.67,,,
발행주식수(보통주),70530917.0,83864249.0,83864249.0,83864249.0,90530915.0,,,
