주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,6591.0,4542.0,3122.0,1688.0,2513.0,,,
영업이익,599.0,227.0,-131.0,-298.0,197.0,,,
영업이익(발표기준),599.0,227.0,-131.0,-298.0,197.0,,,
세전계속사업이익,612.0,177.0,-256.0,-647.0,172.0,,,
당기순이익,481.0,140.0,-236.0,-667.0,176.0,,,
당기순이익(지배),481.0,140.0,-236.0,-667.0,176.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2502.0,2541.0,2213.0,1539.0,1675.0,,,
부채총계,998.0,958.0,907.0,901.0,849.0,,,
자본총계,1504.0,1583.0,1307.0,638.0,827.0,,,
자본총계(지배),1504.0,1583.0,1307.0,638.0,827.0,,,
자본총계(비지배),,,,,,,,
자본금,142.0,142.0,142.0,142.0,142.0,,,
영업활동현금흐름,720.0,435.0,212.0,-215.0,366.0,,,
투자활동현금흐름,-696.0,-460.0,-137.0,17.0,-59.0,,,
재무활동현금흐름,-512.0,114.0,29.0,36.0,-110.0,,,
CAPEX,711.0,374.0,195.0,9.0,46.0,,,
FCF,9.0,61.0,17.0,-224.0,320.0,,,
이자발생부채,313.0,476.0,557.0,597.0,485.0,,,
영업이익률,9.08,4.99,-4.2,-17.67,7.85,,,
순이익률,7.3,3.07,-7.55,-39.5,6.99,,,
ROE(%),31.94,9.04,-16.31,-68.57,23.98,,,
ROA(%),18.41,5.54,-9.92,-35.54,10.93,,,
부채비율,66.35,60.49,69.41,141.16,102.65,,,
자본유보율,955.1,1011.34,822.08,351.45,484.47,,,
EPS(원),1703.0,493.0,-833.0,-2355.0,620.0,,,
PER(배),9.16,13.84,-6.56,-2.2,12.41,,,
BPS(원),5323.0,5603.0,4625.0,2259.0,2926.0,,,
PBR(배),2.93,1.22,1.18,2.3,2.63,,,
현금DPS(원),200.0,100.0,0.0,0.0,100.0,,,
현금배당수익률,1.28,1.47,0.0,0.0,1.3,,,
현금배당성향(%),11.74,20.24,0.0,0.0,16.08,,,
발행주식수(보통주),28314440.0,28314440.0,28314440.0,28314440.0,28314440.0,,,
