주요재무정보,2013(GAAP개별),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,172.0,10112.0,10556.0,12539.0,14310.0,15427.0,16776.0,17707.0
영업이익,115.0,770.0,743.0,619.0,772.0,910.0,1066.0,1164.0
영업이익(발표기준),115.0,770.0,743.0,619.0,772.0,,,
세전계속사업이익,27.0,364.0,383.0,286.0,330.0,348.0,489.0,692.0
당기순이익,17.0,281.0,290.0,171.0,206.0,228.0,306.0,437.0
당기순이익(지배),17.0,166.0,188.0,135.0,150.0,212.0,206.0,309.0
당기순이익(비지배),,115.0,102.0,36.0,56.0,,,
자산총계,3846.0,14379.0,17252.0,20813.0,23542.0,22700.0,22667.0,22922.0
부채총계,2924.0,11546.0,13272.0,16538.0,19071.0,18040.0,17740.0,17599.0
자본총계,922.0,2833.0,3980.0,4275.0,4472.0,4661.0,4927.0,5323.0
자본총계(지배),922.0,1616.0,2628.0,2800.0,2888.0,2998.0,3204.0,3472.0
자본총계(비지배),,1216.0,1352.0,1475.0,1584.0,,,
자본금,270.0,341.0,468.0,468.0,468.0,468.0,468.0,468.0
영업활동현금흐름,-27.0,-802.0,-1063.0,-1867.0,-1485.0,-98.0,-261.0,-546.0
투자활동현금흐름,-94.0,-321.0,-744.0,-851.0,-768.0,-244.0,-488.0,-484.0
재무활동현금흐름,74.0,1352.0,2312.0,3202.0,1872.0,-1324.0,-472.0,-293.0
CAPEX,0.0,371.0,669.0,431.0,527.0,568.0,198.0,195.0
FCF,-27.0,-1173.0,-1733.0,-2298.0,-2012.0,1356.0,661.0,622.0
이자발생부채,2725.0,10160.0,11612.0,14544.0,16597.0,,,
영업이익률,67.15,7.61,7.03,4.93,5.4,5.9,6.36,6.57
순이익률,10.13,2.77,2.75,1.36,1.44,1.48,1.83,2.47
ROE(%),2.63,13.05,8.87,4.98,5.27,7.22,6.66,9.26
ROA(%),0.55,2.87,1.83,0.9,0.93,0.99,1.35,1.92
부채비율,317.27,407.6,333.46,386.87,426.47,387.03,360.05,330.62
자본유보율,333.63,439.72,509.19,538.03,564.05,,,
EPS(원),139.0,546.0,477.0,288.0,320.0,454.0,441.0,660.0
PER(배),,,19.75,22.54,21.76,11.59,11.93,7.97
BPS(원),3411.0,4743.0,5613.0,5980.0,6168.0,6402.0,6843.0,7415.0
PBR(배),0.0,0.0,1.68,1.09,1.13,0.82,0.77,0.71
현금DPS(원),0.0,0.0,0.0,60.0,86.0,88.0,88.0,88.0
현금배당수익률,,,0.0,0.92,1.23,1.67,1.67,1.67
현금배당성향(%),0.0,0.0,0.0,20.8,26.85,0.19,0.2,0.13
발행주식수(보통주),27017650.0,34082240.0,46822295.0,46822295.0,46822295.0,,,
