주요재무정보,2014/03,2015/03,2016/03,2017/03,2018/03,2019/03(E),2020/03(E),2021/03(E)
매출액,14577.0,15309.0,20393.0,19850.0,16731.0,,,
영업이익,616.0,933.0,741.0,835.0,1166.0,,,
영업이익(발표기준),616.0,933.0,741.0,835.0,1166.0,,,
세전계속사업이익,673.0,994.0,818.0,907.0,1097.0,,,
당기순이익,499.0,765.0,576.0,667.0,790.0,,,
당기순이익(지배),468.0,719.0,531.0,619.0,739.0,,,
당기순이익(비지배),31.0,46.0,45.0,49.0,51.0,,,
자산총계,48435.0,67142.0,80986.0,86780.0,87766.0,,,
부채총계,38804.0,56909.0,70310.0,75629.0,76189.0,,,
자본총계,9631.0,10233.0,10676.0,11151.0,11578.0,,,
자본총계(지배),9266.0,9849.0,10284.0,10787.0,11189.0,,,
자본총계(비지배),365.0,384.0,391.0,364.0,388.0,,,
자본금,822.0,822.0,822.0,822.0,822.0,,,
영업활동현금흐름,2777.0,-6829.0,-10050.0,-4298.0,516.0,,,
투자활동현금흐름,-718.0,-451.0,-30.0,282.0,-683.0,,,
재무활동현금흐름,-998.0,6926.0,10007.0,5126.0,-445.0,,,
CAPEX,30.0,11.0,24.0,57.0,363.0,,,
FCF,,,,,,,,
이자발생부채,20.0,524.0,803.0,55.0,950.0,,,
영업이익률,4.23,6.1,3.64,4.21,6.97,,,
순이익률,3.42,5.0,2.82,3.36,4.72,,,
ROE(%),5.11,7.53,5.27,5.87,6.73,,,
ROA(%),0.97,1.24,0.72,0.74,0.85,,,
부채비율,402.9,556.14,658.61,678.19,658.07,,,
자본유보율,1202.81,1275.91,1329.65,1387.42,1449.77,,,
EPS(원),2847.0,4376.0,3228.0,3764.0,4498.0,,,
PER(배),14.07,14.4,18.53,13.26,12.72,,,
BPS(원),101477.0,107813.0,112511.0,117938.0,124286.0,,,
PBR(배),0.39,0.58,0.53,0.42,0.46,,,
현금DPS(원),2000.0,2000.0,2200.0,2450.0,2750.0,,,
현금배당수익률,4.99,3.17,3.68,4.91,4.81,,,
현금배당성향(%),40.21,26.17,39.03,37.27,34.45,,,
발행주식수(보통주),9386237.0,9386237.0,9386237.0,9386237.0,9386237.0,,,
