주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,836.0,1236.0,1324.0,1397.0,1722.0,,,
영업이익,-11.0,28.0,40.0,44.0,101.0,,,
영업이익(발표기준),-11.0,28.0,40.0,44.0,101.0,,,
세전계속사업이익,-97.0,23.0,58.0,38.0,84.0,,,
당기순이익,-120.0,23.0,52.0,33.0,84.0,,,
당기순이익(지배),-120.0,23.0,52.0,33.0,84.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1676.0,1296.0,1295.0,1430.0,1399.0,,,
부채총계,1339.0,940.0,837.0,919.0,808.0,,,
자본총계,337.0,357.0,458.0,511.0,591.0,,,
자본총계(지배),337.0,357.0,458.0,511.0,591.0,,,
자본총계(비지배),,,,,,,,
자본금,226.0,226.0,226.0,226.0,226.0,,,
영업활동현금흐름,-103.0,129.0,79.0,-97.0,82.0,,,
투자활동현금흐름,262.0,559.0,46.0,-40.0,63.0,,,
재무활동현금흐름,-163.0,-673.0,-136.0,107.0,-91.0,,,
CAPEX,2.0,7.0,17.0,7.0,13.0,,,
FCF,-105.0,122.0,62.0,-104.0,69.0,,,
이자발생부채,940.0,330.0,199.0,333.0,248.0,,,
영업이익률,-1.3,2.31,3.04,3.18,5.86,,,
순이익률,-14.41,1.85,3.91,2.33,4.9,,,
ROE(%),-31.4,6.59,12.69,6.72,15.31,,,
ROA(%),-6.45,1.54,3.99,2.39,5.96,,,
부채비율,397.2,263.19,182.76,179.73,136.76,,,
자본유보율,31.99,40.29,59.12,70.99,105.75,,,
EPS(원),-267.0,51.0,114.0,72.0,187.0,,,
PER(배),,,,,,,,
BPS(원),747.0,791.0,1014.0,1153.0,1334.0,,,
PBR(배),0.5,0.81,1.16,0.96,0.76,,,
현금DPS(원),0.0,15.0,15.0,15.0,20.0,,,
현금배당수익률,0.0,2.35,1.27,1.36,1.98,,,
현금배당성향(%),0.0,14.62,10.87,16.74,10.5,,,
발행주식수(보통주),45152280.0,45152280.0,45152280.0,45152280.0,45152280.0,,,
