주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,44277.0,36199.0,35908.0,39369.0,43930.0,,,
영업이익,769.0,955.0,290.0,1342.0,1068.0,,,
영업이익(발표기준),769.0,727.0,414.0,1369.0,1068.0,,,
세전계속사업이익,-302.0,262.0,-372.0,383.0,1249.0,,,
당기순이익,-849.0,206.0,-758.0,284.0,1096.0,,,
당기순이익(지배),-445.0,102.0,-640.0,205.0,972.0,,,
당기순이익(비지배),-404.0,104.0,-117.0,80.0,124.0,,,
자산총계,37756.0,35784.0,32918.0,33336.0,36994.0,,,
부채총계,29481.0,26576.0,24863.0,25023.0,27854.0,,,
자본총계,8274.0,9208.0,8055.0,8313.0,9139.0,,,
자본총계(지배),6512.0,6390.0,5709.0,6003.0,7651.0,,,
자본총계(비지배),1762.0,2818.0,2346.0,2310.0,1489.0,,,
자본금,657.0,657.0,657.0,657.0,657.0,,,
영업활동현금흐름,134.0,-257.0,2259.0,1368.0,562.0,,,
투자활동현금흐름,-551.0,207.0,68.0,-969.0,-550.0,,,
재무활동현금흐름,385.0,-823.0,-1828.0,-515.0,377.0,,,
CAPEX,494.0,742.0,950.0,1026.0,626.0,,,
FCF,-360.0,-999.0,1309.0,342.0,-64.0,,,
이자발생부채,15649.0,14113.0,12377.0,12348.0,14129.0,,,
영업이익률,1.74,2.64,0.81,3.41,2.43,,,
순이익률,-1.92,0.57,-2.11,0.72,2.5,,,
ROE(%),-6.51,1.58,-10.58,3.49,14.24,,,
ROA(%),-2.21,0.56,-2.21,0.86,3.12,,,
부채비율,356.29,288.63,308.67,301.02,304.77,,,
자본유보율,1422.18,1406.87,846.2,847.87,978.94,,,
EPS(원),-3385.0,775.0,-4873.0,1557.0,7400.0,,,
PER(배),-5.01,27.49,-15.8,37.63,8.3,,,
BPS(원),49570.0,48642.0,43459.0,45691.0,58235.0,,,
PBR(배),0.34,0.44,1.77,1.28,1.05,,,
현금DPS(원),500.0,500.0,500.0,500.0,500.0,,,
현금배당수익률,2.95,2.35,0.65,0.85,0.81,,,
현금배당성향(%),-14.89,65.05,-10.34,32.37,6.81,,,
발행주식수(보통주),12061185.0,12061185.0,12061185.0,12061185.0,12061185.0,,,
