주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,,,,,2083.0,,,
영업이익,,,,,218.0,,,
영업이익(발표기준),,,,,218.0,,,
세전계속사업이익,,,,,204.0,,,
당기순이익,,,,,172.0,,,
당기순이익(지배),,,,,172.0,,,
당기순이익(비지배),,,,,,,,
자산총계,,,,,2202.0,,,
부채총계,,,,,349.0,,,
자본총계,,,,,1853.0,,,
자본총계(지배),,,,,1853.0,,,
자본총계(비지배),,,,,,,,
자본금,,,,,26.0,,,
영업활동현금흐름,,,,,330.0,,,
투자활동현금흐름,,,,,-221.0,,,
재무활동현금흐름,,,,,11.0,,,
CAPEX,,,,,171.0,,,
FCF,,,,,159.0,,,
이자발생부채,,,,,16.0,,,
영업이익률,,,,,10.47,,,
순이익률,,,,,8.25,,,
ROE(%),,,,,,,,
ROA(%),,,,,,,,
부채비율,,,,,18.86,,,
자본유보율,,,,,7054.25,,,
EPS(원),,,,,4947.0,,,
PER(배),,,,,11.81,,,
BPS(원),,,,,35770.0,,,
PBR(배),,,,,1.63,,,
현금DPS(원),,,,,500.0,,,
현금배당수익률,,,,,0.86,,,
현금배당성향(%),,,,,15.06,,,
발행주식수(보통주),,,,,5179111.0,,,
