주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E),2019(E),2020(E)
매출액,10195.0,10669.0,8754.0,7386.0,7660.0,,,
영업이익,127.0,137.0,153.0,193.0,199.0,,,
영업이익(발표기준),127.0,137.0,153.0,193.0,199.0,,,
세전계속사업이익,146.0,155.0,173.0,176.0,190.0,,,
당기순이익,125.0,127.0,137.0,140.0,148.0,,,
당기순이익(지배),125.0,127.0,137.0,140.0,148.0,,,
당기순이익(비지배),,,,,,,,
자산총계,6530.0,6838.0,6274.0,6223.0,6458.0,,,
부채총계,3787.0,4051.0,3422.0,3300.0,3456.0,,,
자본총계,2743.0,2788.0,2852.0,2923.0,3002.0,,,
자본총계(지배),2743.0,2788.0,2852.0,2923.0,3002.0,,,
자본총계(비지배),,,,,,,,
자본금,275.0,275.0,275.0,275.0,275.0,,,
영업활동현금흐름,384.0,422.0,352.0,514.0,479.0,,,
투자활동현금흐름,-84.0,-303.0,-541.0,-653.0,-380.0,,,
재무활동현금흐름,-35.0,-100.0,2.0,-188.0,-96.0,,,
CAPEX,381.0,320.0,434.0,459.0,452.0,,,
FCF,3.0,102.0,-82.0,55.0,27.0,,,
이자발생부채,923.0,898.0,973.0,859.0,837.0,,,
영업이익률,1.25,1.28,1.74,2.61,2.6,,,
순이익률,1.22,1.19,1.57,1.89,1.94,,,
ROE(%),4.6,4.59,4.87,4.84,5.01,,,
ROA(%),1.92,1.9,2.09,2.24,2.34,,,
부채비율,138.03,145.31,120.01,112.91,115.14,,,
자본유보율,897.08,913.19,936.56,962.9,991.58,,,
EPS(원),454.0,461.0,499.0,508.0,540.0,,,
PER(배),11.74,13.01,11.98,12.59,11.17,,,
BPS(원),9976.0,10137.0,10370.0,10629.0,10916.0,,,
PBR(배),0.53,0.59,0.58,0.6,0.55,,,
현금DPS(원),250.0,250.0,250.0,250.0,250.0,,,
현금배당수익률,4.69,4.17,4.18,3.91,4.15,,,
현금배당성향(%),55.08,54.22,50.08,49.17,46.3,,,
발행주식수(보통주),27500000.0,27500000.0,27500000.0,27500000.0,27500000.0,,,
