주요재무정보,2013,2014,2015,2016,2017,2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,4796.0,6381.0,7278.0,6466.0,5733.0,,,
영업이익,-30.0,220.0,95.0,595.0,416.0,,,
영업이익(발표기준),-30.0,220.0,95.0,595.0,416.0,,,
세전계속사업이익,-724.0,-176.0,-420.0,-777.0,218.0,,,
당기순이익,-724.0,-176.0,-428.0,-752.0,218.0,,,
당기순이익(지배),-724.0,-176.0,-428.0,-752.0,218.0,,,
당기순이익(비지배),,,,,,,,
자산총계,4878.0,4421.0,5305.0,3021.0,3136.0,,,
부채총계,4527.0,3322.0,4646.0,3121.0,2377.0,,,
자본총계,351.0,1099.0,659.0,-100.0,759.0,,,
자본총계(지배),351.0,1099.0,659.0,-100.0,759.0,,,
자본총계(비지배),,,,,,,,
자본금,473.0,623.0,769.0,769.0,733.0,,,
영업활동현금흐름,48.0,118.0,1002.0,-428.0,-114.0,,,
투자활동현금흐름,0.0,-72.0,-993.0,684.0,-18.0,,,
재무활동현금흐름,-24.0,-10.0,-1.0,-149.0,369.0,,,
CAPEX,0.0,0.0,1.0,5.0,2.0,,,
FCF,48.0,117.0,1001.0,-432.0,-116.0,,,
이자발생부채,1602.0,457.0,457.0,311.0,229.0,,,
영업이익률,-0.62,3.44,1.31,9.21,7.26,,,
순이익률,-15.1,-2.75,-5.88,-11.63,3.81,,,
ROE(%),-102.38,-24.23,-48.72,-269.23,66.29,,,
ROA(%),-14.09,-3.78,-8.8,-18.07,7.09,,,
부채비율,1287.89,302.35,705.13,-3118.15,313.32,,,
자본유보율,-15.74,8.43,-21.9,-119.97,-11.68,,,
EPS(원),-1428.0,-346.0,-524.0,-917.0,164.0,,,
PER(배),-1.13,-4.81,-4.39,-2.28,11.68,,,
BPS(원),693.0,1650.0,804.0,-122.0,518.0,,,
PBR(배),2.32,1.01,2.86,-17.12,3.7,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),49562878.0,65465713.0,80872380.0,80872380.0,145353082.0,,,
