주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,3264.0,3257.0,3632.0,3789.0,3487.0,,,
영업이익,457.0,485.0,525.0,534.0,249.0,,,
영업이익(발표기준),457.0,485.0,525.0,534.0,249.0,,,
세전계속사업이익,-3457.0,2717.0,36.0,-1345.0,669.0,,,
당기순이익,-3475.0,2834.0,-110.0,-1500.0,615.0,,,
당기순이익(지배),-3475.0,2834.0,-110.0,-1500.0,615.0,,,
당기순이익(비지배),,,,,,,,
자산총계,4790.0,4696.0,5051.0,5199.0,4961.0,,,
부채총계,7558.0,4137.0,4741.0,3769.0,2868.0,,,
자본총계,-2768.0,559.0,310.0,1430.0,2093.0,,,
자본총계(지배),-2768.0,559.0,310.0,1430.0,2093.0,,,
자본총계(비지배),,,,,,,,
자본금,367.0,438.0,438.0,838.0,838.0,,,
영업활동현금흐름,519.0,590.0,774.0,710.0,241.0,,,
투자활동현금흐름,-45.0,-1.0,-353.0,-543.0,-25.0,,,
재무활동현금흐름,-471.0,-515.0,-282.0,-131.0,-404.0,,,
CAPEX,34.0,25.0,67.0,176.0,110.0,,,
FCF,486.0,565.0,707.0,534.0,131.0,,,
이자발생부채,3063.0,1137.0,862.0,980.0,576.0,,,
영업이익률,14.0,14.9,14.46,14.09,7.14,,,
순이익률,-106.47,87.0,-3.02,-39.59,17.64,,,
ROE(%),327.27,-256.57,-25.28,-172.43,34.91,,,
ROA(%),-68.67,59.75,-2.25,-29.26,12.11,,,
부채비율,-273.03,740.02,1531.3,263.57,136.98,,,
자본유보율,-779.34,93.43,36.94,90.08,169.26,,,
EPS(원),-343022.0,53282.0,-1254.0,-13416.0,3670.0,,,
PER(배),-0.06,0.2,-15.47,-2.06,4.16,,,
BPS(원),-406788.0,6566.0,3636.0,8533.0,12492.0,,,
PBR(배),-0.05,1.61,5.34,3.23,1.22,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),1013004.0,8754954.0,8754954.0,16758544.0,16758544.0,,,
