주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,3527.0,4207.0,4801.0,4943.0,5680.0,,,
영업이익,78.0,152.0,247.0,439.0,590.0,,,
영업이익(발표기준),78.0,152.0,247.0,439.0,590.0,,,
세전계속사업이익,167.0,246.0,250.0,430.0,583.0,,,
당기순이익,163.0,237.0,243.0,337.0,446.0,,,
당기순이익(지배),163.0,237.0,243.0,337.0,446.0,,,
당기순이익(비지배),,,,,,,,
자산총계,4195.0,5242.0,4735.0,5041.0,5759.0,,,
부채총계,1818.0,2583.0,1875.0,1915.0,2273.0,,,
자본총계,2377.0,2659.0,2859.0,3126.0,3487.0,,,
자본총계(지배),2377.0,2659.0,2859.0,3126.0,3487.0,,,
자본총계(비지배),,,,,,,,
자본금,623.0,623.0,623.0,623.0,623.0,,,
영업활동현금흐름,361.0,367.0,-276.0,375.0,-675.0,,,
투자활동현금흐름,-83.0,-32.0,51.0,-157.0,120.0,,,
재무활동현금흐름,42.0,30.0,-157.0,-65.0,411.0,,,
CAPEX,152.0,19.0,141.0,37.0,8.0,,,
FCF,209.0,348.0,-417.0,338.0,-683.0,,,
이자발생부채,217.0,217.0,111.0,111.0,611.0,,,
영업이익률,2.23,3.62,5.14,8.88,10.38,,,
순이익률,4.63,5.62,5.06,6.81,7.86,,,
ROE(%),7.14,9.39,8.87,11.25,13.5,,,
ROA(%),4.0,5.01,4.89,6.89,8.27,,,
부채비율,76.48,97.13,65.58,61.27,65.19,,,
자본유보율,288.38,321.14,351.86,394.33,453.58,,,
EPS(원),1312.0,1900.0,1951.0,2704.0,3586.0,,,
PER(배),4.56,6.34,6.2,4.99,4.22,,,
BPS(원),20832.0,21958.0,23612.0,25809.0,28790.0,,,
PBR(배),0.29,0.55,0.51,0.52,0.53,,,
현금DPS(원),250.0,400.0,520.0,680.0,890.0,,,
현금배당수익률,4.17,3.32,4.3,5.04,5.87,,,
현금배당성향(%),17.46,20.48,25.92,24.46,24.14,,,
발행주식수(보통주),12450800.0,12450800.0,12450800.0,12450800.0,12450800.0,,,
