주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,481.0,236.0,239.0,137.0,539.0,,,
영업이익,245.0,-27.0,-19.0,-44.0,0.0,,,
영업이익(발표기준),245.0,-27.0,-19.0,-44.0,0.0,,,
세전계속사업이익,206.0,-34.0,14.0,-98.0,-24.0,,,
당기순이익,183.0,-31.0,12.0,-95.0,-30.0,,,
당기순이익(지배),183.0,-31.0,12.0,-81.0,-19.0,,,
당기순이익(비지배),0.0,-1.0,0.0,-14.0,-11.0,,,
자산총계,923.0,705.0,1154.0,1173.0,881.0,,,
부채총계,405.0,218.0,638.0,751.0,488.0,,,
자본총계,519.0,487.0,517.0,422.0,393.0,,,
자본총계(지배),517.0,486.0,509.0,429.0,414.0,,,
자본총계(비지배),2.0,1.0,8.0,-7.0,-20.0,,,
자본금,214.0,214.0,214.0,214.0,214.0,,,
영업활동현금흐름,471.0,-167.0,-553.0,-11.0,242.0,,,
투자활동현금흐름,-116.0,-5.0,111.0,-50.0,20.0,,,
재무활동현금흐름,-150.0,-25.0,433.0,56.0,-226.0,,,
CAPEX,14.0,11.0,2.0,1.0,4.0,,,
FCF,457.0,-178.0,-555.0,-11.0,237.0,,,
이자발생부채,120.0,95.0,523.0,578.0,354.0,,,
영업이익률,50.95,-11.44,-7.78,-32.41,0.05,,,
순이익률,37.95,-13.2,5.08,-69.57,-5.54,,,
ROE(%),42.94,-6.1,2.36,-17.31,-4.42,,,
ROA(%),21.55,-3.83,1.31,-8.2,-2.9,,,
부채비율,78.02,44.85,123.44,177.72,124.25,,,
자본유보율,148.95,134.32,145.14,108.09,100.67,,,
EPS(원),426.0,-71.0,27.0,-190.0,-43.0,,,
PER(배),3.71,-30.89,53.39,-9.26,-18.95,,,
BPS(원),1329.0,1249.0,1308.0,1104.0,1063.0,,,
PBR(배),1.19,1.77,1.12,1.59,0.78,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),42851600.0,42851600.0,42851600.0,42851600.0,42851600.0,,,
