주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,3703.0,3557.0,3093.0,2806.0,3132.0,,,
영업이익,233.0,185.0,221.0,167.0,136.0,,,
영업이익(발표기준),233.0,185.0,221.0,167.0,136.0,,,
세전계속사업이익,229.0,208.0,327.0,406.0,162.0,,,
당기순이익,174.0,160.0,251.0,307.0,125.0,,,
당기순이익(지배),174.0,160.0,251.0,307.0,125.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2069.0,2157.0,2517.0,2796.0,2808.0,,,
부채총계,252.0,214.0,358.0,358.0,329.0,,,
자본총계,1817.0,1943.0,2159.0,2438.0,2479.0,,,
자본총계(지배),1817.0,1943.0,2159.0,2438.0,2479.0,,,
자본총계(비지배),,,,,,,,
자본금,87.0,87.0,87.0,87.0,87.0,,,
영업활동현금흐름,214.0,293.0,402.0,286.0,-45.0,,,
투자활동현금흐름,-72.0,-219.0,-338.0,-239.0,149.0,,,
재무활동현금흐름,-58.0,-49.0,-31.0,-36.0,-94.0,,,
CAPEX,128.0,32.0,47.0,41.0,47.0,,,
FCF,86.0,260.0,355.0,245.0,-91.0,,,
이자발생부채,16.0,,,,,,,
영업이익률,6.28,5.19,7.16,5.94,4.34,,,
순이익률,4.71,4.49,8.12,10.95,3.98,,,
ROE(%),9.98,8.5,12.24,13.37,5.07,,,
ROA(%),8.51,7.57,10.74,11.57,4.45,,,
부채비율,13.84,11.01,16.57,14.67,13.28,,,
자본유보율,1989.22,2137.56,2386.98,2700.77,2812.42,,,
EPS(원),10025.0,9188.0,14431.0,17665.0,7171.0,,,
PER(배),7.22,7.32,5.44,5.36,11.97,,,
BPS(원),105428.0,112729.0,125266.0,141483.0,149413.0,,,
PBR(배),0.69,0.6,0.63,0.67,0.57,,,
현금DPS(원),1900.0,1800.0,2100.0,2200.0,1700.0,,,
현금배당수익률,2.62,2.67,2.68,2.33,1.98,,,
현금배당성향(%),18.78,19.41,14.42,12.34,22.61,,,
발행주식수(보통주),1739672.0,1739672.0,1739672.0,1739672.0,1739672.0,,,
