주요재무정보,Unnamed: 1,Unnamed: 2,2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,,,,,14496.0,20109.0,22017.0,23182.0
영업이익,,,,,624.0,69.0,778.0,1122.0
영업이익(발표기준),,,,,624.0,,,
세전계속사업이익,,,,,224.0,95.0,610.0,1010.0
당기순이익,,,,,143.0,81.0,466.0,762.0
당기순이익(지배),,,,,143.0,118.0,456.0,715.0
당기순이익(비지배),,,,,,,,
자산총계,,,,,20946.0,22995.0,23585.0,24336.0
부채총계,,,,,10545.0,12517.0,12694.0,12708.0
자본총계,,,,,10401.0,10478.0,10890.0,11628.0
자본총계(지배),,,,,10398.0,10525.0,10872.0,11510.0
자본총계(비지배),,,,,3.0,,,
자본금,,,,,510.0,515.0,515.0,515.0
영업활동현금흐름,,,,,-44.0,691.0,1240.0,1290.0
투자활동현금흐름,,,,,-716.0,-1055.0,-597.0,-556.0
재무활동현금흐름,,,,,1086.0,579.0,-70.0,-98.0
CAPEX,,,,,382.0,652.0,446.0,407.0
FCF,,,,,-427.0,-879.0,102.0,595.0
이자발생부채,,,,,5176.0,,,
영업이익률,,,,,4.31,0.34,3.54,4.84
순이익률,,,,,0.99,0.4,2.11,3.29
ROE(%),,,,,,1.13,4.27,6.39
ROA(%),,,,,,0.37,2.0,3.18
부채비율,,,,,101.38,119.45,116.57,109.28
자본유보율,,,,,1844.25,,,
EPS(원),,,,,2284.0,1156.0,4472.0,7005.0
PER(배),,,,,49.92,51.2,13.24,8.45
BPS(원),,,,,102431.0,103682.0,107102.0,113382.0
PBR(배),,,,,1.11,0.57,0.55,0.52
현금DPS(원),,,,,,269.0,69.0,147.0
현금배당수익률,,,,,,0.45,0.12,0.25
현금배당성향(%),,,,,0.0,0.23,0.02,0.02
발행주식수(보통주),,,,,10205783.0,,,
