주요재무정보,2014/03,2015/03,2016/03,2017/03,2018/03,2019/03(E),2020/03(E),2021/03(E)
매출액,3265.0,3155.0,3333.0,3873.0,4207.0,,,
영업이익,65.0,103.0,131.0,253.0,192.0,,,
영업이익(발표기준),65.0,103.0,131.0,253.0,192.0,,,
세전계속사업이익,79.0,116.0,162.0,307.0,148.0,,,
당기순이익,51.0,103.0,149.0,249.0,112.0,,,
당기순이익(지배),55.0,75.0,124.0,244.0,118.0,,,
당기순이익(비지배),-5.0,28.0,25.0,5.0,-6.0,,,
자산총계,3194.0,3007.0,3234.0,3347.0,3404.0,,,
부채총계,1002.0,764.0,880.0,796.0,785.0,,,
자본총계,2191.0,2244.0,2354.0,2551.0,2619.0,,,
자본총계(지배),2174.0,2200.0,2286.0,2478.0,2552.0,,,
자본총계(비지배),17.0,43.0,68.0,73.0,67.0,,,
자본금,120.0,120.0,120.0,120.0,120.0,,,
영업활동현금흐름,50.0,383.0,299.0,206.0,-74.0,,,
투자활동현금흐름,-125.0,-140.0,-113.0,-35.0,-85.0,,,
재무활동현금흐름,84.0,-278.0,-13.0,-216.0,133.0,,,
CAPEX,69.0,60.0,54.0,103.0,71.0,,,
FCF,-19.0,323.0,245.0,103.0,-145.0,,,
이자발생부채,518.0,284.0,307.0,121.0,297.0,,,
영업이익률,1.99,3.28,3.94,6.53,4.56,,,
순이익률,1.55,3.26,4.46,6.43,2.67,,,
ROE(%),2.56,3.45,5.53,10.25,4.71,,,
ROA(%),1.55,3.32,4.77,7.57,3.32,,,
부채비율,45.75,34.05,37.36,31.22,29.97,,,
자본유보율,1704.5,1740.49,1821.38,1997.86,2060.76,,,
EPS(원),243.0,331.0,544.0,1070.0,520.0,,,
PER(배),16.13,51.22,20.88,8.69,19.43,,,
BPS(원),10108.0,10228.0,10627.0,11519.0,11865.0,,,
PBR(배),0.39,1.66,1.07,0.81,0.85,,,
현금DPS(원),150.0,125.0,150.0,200.0,200.0,,,
현금배당수익률,3.82,0.74,1.32,2.15,1.98,,,
현금배당성향(%),58.15,35.64,26.03,17.63,36.31,,,
발행주식수(보통주),22800500.0,22800500.0,22800500.0,22800500.0,22800500.0,,,
