주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,6375.0,5069.0,4914.0,3818.0,3951.0,,,
영업이익,9.0,-214.0,31.0,259.0,293.0,,,
영업이익(발표기준),28.0,-160.0,18.0,265.0,293.0,,,
세전계속사업이익,-115.0,-843.0,-406.0,69.0,360.0,,,
당기순이익,-136.0,-744.0,-346.0,48.0,292.0,,,
당기순이익(지배),-115.0,-732.0,-331.0,43.0,293.0,,,
당기순이익(비지배),-22.0,-11.0,-15.0,5.0,-1.0,,,
자산총계,7227.0,7262.0,5393.0,4675.0,4898.0,,,
부채총계,5676.0,6445.0,4780.0,3956.0,3278.0,,,
자본총계,1551.0,817.0,613.0,719.0,1621.0,,,
자본총계(지배),1422.0,697.0,497.0,592.0,1627.0,,,
자본총계(비지배),129.0,121.0,116.0,127.0,-6.0,,,
자본금,326.0,326.0,326.0,326.0,706.0,,,
영업활동현금흐름,180.0,-24.0,132.0,469.0,298.0,,,
투자활동현금흐름,-520.0,-306.0,548.0,293.0,283.0,,,
재무활동현금흐름,182.0,332.0,-685.0,-769.0,-567.0,,,
CAPEX,488.0,237.0,135.0,61.0,32.0,,,
FCF,-307.0,-261.0,-4.0,409.0,266.0,,,
이자발생부채,4771.0,5443.0,4031.0,3262.0,2731.0,,,
영업이익률,0.13,-4.21,0.63,6.77,7.41,,,
순이익률,-2.14,-14.67,-7.04,1.27,7.39,,,
ROE(%),-7.41,-69.15,-55.46,7.98,26.41,,,
ROA(%),-1.89,-10.26,-5.47,0.96,6.1,,,
부채비율,365.99,788.52,779.46,550.31,202.25,,,
자본유보율,446.66,211.47,106.95,122.44,175.53,,,
EPS(원),-176.0,-1124.0,-508.0,67.0,323.0,,,
PER(배),-18.07,-2.63,-3.39,24.75,4.37,,,
BPS(원),2331.0,1144.0,775.0,909.0,1379.0,,,
PBR(배),1.36,2.58,2.22,1.82,1.02,,,
현금DPS(원),30.0,0.0,0.0,0.0,,,,
현금배당수익률,0.94,0.0,0.0,0.0,,,,
현금배당성향(%),-15.95,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),65180349.0,65180349.0,65180349.0,65180349.0,141144600.0,,,
