주요재무정보,2013,2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1187.0,1375.0,1435.0,1411.0,1776.0,2043.0,2119.0,2170.0
영업이익,190.0,220.0,297.0,326.0,451.0,478.0,519.0,558.0
영업이익(발표기준),190.0,220.0,297.0,326.0,451.0,,,
세전계속사업이익,267.0,208.0,233.0,134.0,257.0,279.0,305.0,347.0
당기순이익,264.0,210.0,231.0,133.0,257.0,276.0,302.0,343.0
당기순이익(지배),263.0,210.0,231.0,132.0,257.0,276.0,302.0,343.0
당기순이익(비지배),1.0,,,0.0,0.0,,,
자산총계,3391.0,4949.0,5457.0,6480.0,9048.0,9600.0,9580.0,9602.0
부채총계,1783.0,3106.0,3336.0,4120.0,6774.0,7386.0,7402.0,7420.0
자본총계,1608.0,1844.0,2121.0,2360.0,2274.0,2214.0,2178.0,2181.0
자본총계(지배),1604.0,1844.0,2121.0,2360.0,2274.0,2214.0,2178.0,2181.0
자본총계(비지배),4.0,,,0.0,0.0,,,
자본금,58.0,58.0,58.0,116.0,116.0,116.0,116.0,116.0
영업활동현금흐름,340.0,393.0,540.0,550.0,761.0,792.0,453.0,825.0
투자활동현금흐름,-504.0,-1449.0,-418.0,-269.0,-29.0,-591.0,1.0,1.0
재무활동현금흐름,142.0,1093.0,-127.0,-196.0,-394.0,-591.0,-593.0,-595.0
CAPEX,572.0,1430.0,432.0,268.0,131.0,592.0,0.0,0.0
FCF,-232.0,-1037.0,108.0,282.0,631.0,,,
이자발생부채,1589.0,2870.0,3059.0,3870.0,6479.0,,,
영업이익률,16.05,16.03,20.72,23.11,25.39,23.4,24.49,25.71
순이익률,22.23,15.29,16.13,9.4,14.47,13.51,14.25,15.81
ROE(%),17.7,12.21,,5.91,11.09,12.3,13.75,15.74
ROA(%),8.14,5.05,,2.22,3.31,2.96,3.15,3.58
부채비율,110.92,168.48,157.24,174.56,297.9,333.6,339.85,340.21
자본유보율,2682.55,2983.91,3355.22,1722.55,1900.8,,,
EPS(원),1135.0,907.0,998.0,571.0,1108.0,1190.0,1303.0,1479.0
PER(배),5.47,6.92,8.62,14.17,8.19,6.23,5.7,5.02
BPS(원),6918.0,7975.0,9329.0,10265.0,9990.0,9765.0,9606.0,9620.0
PBR(배),0.9,0.79,0.92,0.79,0.91,0.76,0.77,0.77
현금DPS(원),65.0,100.0,130.0,170.0,230.0,240.0,250.0,260.0
현금배당수익률,1.05,1.59,1.51,2.1,2.54,3.23,3.37,3.5
현금배당성향(%),5.73,10.96,12.53,29.55,20.38,0.2,0.19,0.18
발행주식수(보통주),23185880.0,23185880.0,23185880.0,23185880.0,23185880.0,,,
