주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,18177.0,24950.0,27991.0,30270.0,33179.0,20530.0,21485.0,22175.0
영업이익,-8.0,70.0,116.0,358.0,1011.0,275.0,390.0,475.0
영업이익(발표기준),-8.0,70.0,116.0,358.0,1011.0,,,
세전계속사업이익,-8.0,70.0,127.0,366.0,1013.0,1165.0,1385.0,1530.0
당기순이익,-1.0,26.0,99.0,291.0,746.0,866.0,1030.0,1145.0
당기순이익(지배),-1.0,26.0,99.0,291.0,746.0,866.0,1030.0,1145.0
당기순이익(비지배),0.0,0.0,,,,,,
자산총계,52450.0,67278.0,87783.0,110975.0,128022.0,140120.0,154310.0,169350.0
부채총계,49803.0,64233.0,83353.0,105961.0,122549.0,134040.0,147260.0,161190.0
자본총계,2648.0,3045.0,4430.0,5014.0,5473.0,6080.0,7055.0,8160.0
자본총계(지배),2648.0,3045.0,4430.0,5014.0,5473.0,6080.0,7055.0,8160.0
자본총계(비지배),,,,,,,,
자본금,673.0,673.0,1343.0,1343.0,1343.0,1350.0,1350.0,1350.0
영업활동현금흐름,2390.0,1443.0,4729.0,8352.0,1981.0,,,
투자활동현금흐름,-3356.0,1204.0,-6142.0,-11811.0,-3421.0,,,
재무활동현금흐름,426.0,0.0,1500.0,1197.0,856.0,,,
CAPEX,53.0,39.0,76.0,57.0,147.0,,,
FCF,,,,,,,,
이자발생부채,896.0,897.0,897.0,1576.0,2473.0,,,
영업이익률,-0.04,0.28,0.42,1.18,3.05,1.34,1.82,2.14
순이익률,0.0,0.1,0.35,0.96,2.25,4.22,4.79,5.16
ROE(%),-0.02,0.9,2.64,6.15,14.24,15.0,15.68,15.05
ROA(%),0.0,0.04,0.13,0.29,0.63,0.65,0.7,0.71
부채비율,1880.92,2109.67,1881.51,2113.35,2239.35,2204.61,2087.31,1975.37
자본유보율,295.23,354.23,230.76,274.24,308.39,,,
EPS(원),-1.0,32.0,94.0,216.0,556.0,645.0,767.0,853.0
PER(배),-3071.82,73.03,31.99,11.14,5.22,4.01,3.37,3.03
BPS(원),3358.0,3861.0,3330.0,3768.0,4113.0,4570.0,5302.0,6133.0
PBR(배),0.73,0.6,0.9,0.64,0.71,0.57,0.49,0.42
현금DPS(원),0.0,0.0,0.0,10.0,20.0,35.0,35.0,60.0
현금배당수익률,0.0,0.0,0.0,0.41,0.69,1.35,1.35,2.32
현금배당성향(%),0.0,0.0,0.0,4.58,3.56,0.05,0.05,0.07
발행주식수(보통주),80074930.0,80074930.0,134280000.0,134280000.0,134280000.0,,,
