주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,9182.0,9450.0,8677.0,8612.0,9144.0,9231.0,9479.0,
영업이익,346.0,428.0,607.0,689.0,415.0,449.0,511.0,
영업이익(발표기준),346.0,428.0,607.0,689.0,415.0,,,
세전계속사업이익,290.0,374.0,602.0,655.0,433.0,,,
당기순이익,221.0,279.0,449.0,511.0,310.0,,,
당기순이익(지배),221.0,279.0,449.0,511.0,310.0,356.0,405.0,
당기순이익(비지배),,,,,,,,
자산총계,5472.0,5638.0,5606.0,5772.0,6127.0,,,
부채총계,3974.0,3849.0,3420.0,3121.0,3329.0,,,
자본총계,1498.0,1789.0,2187.0,2650.0,2798.0,,,
자본총계(지배),1498.0,1789.0,2187.0,2650.0,2798.0,,,
자본총계(비지배),,,,,,,,
자본금,172.0,172.0,172.0,172.0,172.0,,,
영업활동현금흐름,126.0,211.0,622.0,496.0,77.0,,,
투자활동현금흐름,-206.0,-169.0,-45.0,-140.0,-208.0,,,
재무활동현금흐름,124.0,-49.0,-382.0,-384.0,54.0,,,
CAPEX,221.0,137.0,47.0,94.0,210.0,,,
FCF,-95.0,75.0,575.0,402.0,-133.0,,,
이자발생부채,2473.0,2475.0,2152.0,1835.0,1944.0,,,
영업이익률,3.77,4.53,7.0,8.0,4.54,4.86,5.39,
순이익률,2.41,2.96,5.17,5.94,3.4,,,
ROE(%),15.87,16.99,22.56,21.14,11.39,,,
ROA(%),4.29,5.03,7.98,8.99,5.22,,,
부채비율,265.21,215.1,156.38,117.77,118.97,,,
자본유보율,780.13,918.66,1153.33,1431.39,1589.46,,,
EPS(원),694.0,875.0,1406.0,1603.0,973.0,1116.0,1270.0,
PER(배),9.15,8.16,7.82,5.84,6.99,5.42,4.77,
BPS(원),4697.0,5609.0,6855.0,8388.0,9056.0,,,
PBR(배),1.35,1.27,1.6,1.12,0.75,,,
현금DPS(원),80.0,100.0,130.0,140.0,120.0,,,
현금배당수익률,1.26,1.4,1.18,1.5,1.76,,,
현금배당성향(%),11.53,11.42,9.24,8.67,11.95,,,
발행주식수(보통주),31900000.0,31900000.0,31900000.0,31900000.0,31900000.0,,,
