주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1045.0,1207.0,1454.0,1414.0,1480.0,1573.0,1689.0,1820.0
영업이익,201.0,240.0,254.0,216.0,297.0,275.0,305.0,344.0
영업이익(발표기준),201.0,240.0,254.0,216.0,297.0,,,
세전계속사업이익,214.0,242.0,266.0,218.0,365.0,311.0,348.0,389.0
당기순이익,146.0,188.0,205.0,164.0,272.0,235.0,261.0,291.0
당기순이익(지배),146.0,188.0,205.0,164.0,272.0,235.0,261.0,291.0
당기순이익(비지배),,,,,,,,
자산총계,1931.0,2178.0,2350.0,2434.0,2748.0,3036.0,3262.0,3521.0
부채총계,199.0,293.0,285.0,233.0,318.0,390.0,411.0,434.0
자본총계,1732.0,1885.0,2066.0,2201.0,2431.0,2646.0,2851.0,3087.0
자본총계(지배),1732.0,1885.0,2066.0,2201.0,2431.0,2646.0,2851.0,3087.0
자본총계(비지배),,,,,,,,
자본금,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
영업활동현금흐름,107.0,134.0,159.0,198.0,235.0,210.0,241.0,273.0
투자활동현금흐름,-127.0,-176.0,-5.0,-68.0,-375.0,-168.0,-262.0,-281.0
재무활동현금흐름,-38.0,-38.0,-38.0,-38.0,-38.0,0.0,-56.0,-56.0
CAPEX,12.0,119.0,23.0,74.0,191.0,159.0,218.0,235.0
FCF,95.0,15.0,136.0,124.0,44.0,,,
이자발생부채,,,,,,,,
영업이익률,19.29,19.89,17.48,15.3,20.04,17.48,18.06,18.9
순이익률,13.96,15.58,14.11,11.6,18.37,14.94,15.45,15.99
ROE(%),8.69,10.4,10.38,7.69,11.73,9.26,9.5,9.8
ROA(%),7.79,9.15,9.06,6.85,10.49,8.13,8.29,8.58
부채비율,11.48,15.55,13.77,10.59,13.06,14.74,14.42,14.06
자본유보율,1785.8,1940.33,2112.42,2242.12,2482.89,,,
EPS(원),784.0,1011.0,1103.0,882.0,1461.0,1263.0,1403.0,1565.0
PER(배),13.39,22.75,17.73,17.98,15.23,17.57,15.82,14.19
BPS(원),11345.0,12348.0,13532.0,14419.0,15922.0,17331.0,18674.0,20220.0
PBR(배),0.93,1.86,1.44,1.1,1.4,1.28,1.19,1.1
현금DPS(원),250.0,250.0,250.0,250.0,300.0,300.0,300.0,300.0
현금배당수익률,2.38,1.09,1.28,1.58,1.35,1.35,1.35,1.35
현금배당성향(%),26.18,20.3,18.61,23.28,16.86,0.24,0.21,0.19
발행주식수(보통주),18600070.0,18600070.0,18600070.0,18600070.0,18600070.0,,,
