주요재무정보,2013/06,2014/06,2015/06,2016/06,2017/06,2018/06(E),2019/06(E),2020/06(E)
매출액,3954.0,3652.0,3666.0,3486.0,2330.0,,,
영업이익,711.0,650.0,601.0,543.0,-95.0,,,
영업이익(발표기준),711.0,650.0,601.0,543.0,-95.0,,,
세전계속사업이익,945.0,817.0,764.0,666.0,-4.0,,,
당기순이익,799.0,680.0,641.0,568.0,-22.0,,,
당기순이익(지배),562.0,463.0,427.0,395.0,27.0,,,
당기순이익(비지배),237.0,216.0,215.0,173.0,-49.0,,,
자산총계,4949.0,5407.0,6040.0,6630.0,6346.0,,,
부채총계,921.0,1048.0,776.0,934.0,827.0,,,
자본총계,4029.0,4360.0,5264.0,5696.0,5518.0,,,
자본총계(지배),3182.0,3448.0,4070.0,4375.0,4295.0,,,
자본총계(비지배),847.0,911.0,1194.0,1322.0,1223.0,,,
자본금,50.0,50.0,50.0,50.0,50.0,,,
영업활동현금흐름,898.0,812.0,715.0,862.0,376.0,,,
투자활동현금흐름,-500.0,-577.0,-950.0,-189.0,-453.0,,,
재무활동현금흐름,-338.0,-65.0,-133.0,-10.0,-10.0,,,
CAPEX,368.0,190.0,295.0,674.0,447.0,,,
FCF,530.0,622.0,421.0,188.0,-71.0,,,
이자발생부채,77.0,89.0,,,,,,
영업이익률,17.98,17.8,16.4,15.57,-4.08,,,
순이익률,20.21,18.61,17.49,16.3,-0.94,,,
ROE(%),19.69,13.98,11.35,9.36,0.63,,,
ROA(%),17.29,13.13,11.2,8.97,-0.34,,,
부채비율,22.86,24.04,14.74,16.39,14.99,,,
자본유보율,5833.19,6718.72,7542.75,8316.74,8351.69,,,
EPS(원),5620.0,4634.0,4266.0,3952.0,275.0,,,
PER(배),4.41,6.61,5.88,4.74,68.58,,,
BPS(원),31820.0,34482.0,40698.0,43745.0,42950.0,,,
PBR(배),0.78,0.89,0.62,0.43,0.44,,,
현금DPS(원),100.0,100.0,100.0,100.0,100.0,,,
현금배당수익률,0.4,0.33,0.4,0.53,0.53,,,
현금배당성향(%),1.78,2.16,2.34,2.53,36.38,,,
발행주식수(보통주),10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,,,
