주요재무정보,Unnamed: 1,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,,248.0,2485.0,2291.0,3245.0,3878.0,3610.0,4080.0
영업이익,,13.0,101.0,140.0,336.0,415.0,355.0,441.0
영업이익(발표기준),,13.0,101.0,140.0,336.0,,,
세전계속사업이익,,14.0,35.0,119.0,340.0,412.0,363.0,461.0
당기순이익,,10.0,15.0,96.0,305.0,313.0,283.0,369.0
당기순이익(지배),,10.0,17.0,96.0,305.0,313.0,283.0,369.0
당기순이익(비지배),,-1.0,-2.0,,,,,
자산총계,,2231.0,2224.0,2282.0,2551.0,2903.0,3057.0,3310.0
부채총계,,1326.0,1298.0,1277.0,1270.0,1329.0,1219.0,1124.0
자본총계,,905.0,926.0,1005.0,1281.0,1574.0,1837.0,2186.0
자본총계(지배),,900.0,926.0,1005.0,1281.0,1574.0,1837.0,2186.0
자본총계(비지배),,4.0,,,,,,
자본금,,55.0,55.0,55.0,55.0,55.0,55.0,55.0
영업활동현금흐름,,6.0,295.0,324.0,108.0,303.0,454.0,397.0
투자활동현금흐름,,-6.0,-119.0,-119.0,-110.0,-234.0,-144.0,-168.0
재무활동현금흐름,,-30.0,123.0,-225.0,-124.0,-68.0,-84.0,-195.0
CAPEX,,6.0,123.0,115.0,117.0,204.0,120.0,140.0
FCF,,1.0,172.0,209.0,-9.0,99.0,334.0,257.0
이자발생부채,,893.0,1046.0,819.0,668.0,,,
영업이익률,,5.22,4.06,6.11,10.36,10.7,9.83,10.81
순이익률,,3.86,0.59,4.19,9.41,8.07,7.84,9.04
ROE(%),,,1.84,9.95,26.71,21.92,16.59,18.34
ROA(%),,,0.65,4.26,12.64,11.48,9.5,11.59
부채비율,,146.58,140.22,127.02,99.09,84.43,66.36,51.42
자본유보율,,1532.56,1570.63,1714.18,2230.44,,,
EPS(원),,98.0,152.0,870.0,2765.0,2835.0,2563.0,3342.0
PER(배),,,40.62,10.67,6.87,6.44,7.12,5.46
BPS(원),,8152.0,8388.0,9107.0,11612.0,14263.0,16646.0,19808.0
PBR(배),,0.0,0.74,1.02,1.64,1.28,1.1,0.92
현금DPS(원),,0.0,100.0,120.0,180.0,180.0,180.0,180.0
현금배당수익률,,,1.62,1.29,0.95,0.99,0.99,0.99
현금배당성향(%),,0.0,65.59,13.79,6.51,0.06,0.07,0.05
발행주식수(보통주),,11041708.0,11041708.0,11041708.0,11041708.0,,,
