주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,3273.0,3595.0,4014.0,4091.0,4227.0,4737.0,5236.0,5690.0
영업이익,191.0,244.0,276.0,220.0,10.0,262.0,318.0,374.0
영업이익(발표기준),191.0,244.0,276.0,220.0,10.0,,,
세전계속사업이익,203.0,286.0,278.0,215.0,764.0,272.0,324.0,380.0
당기순이익,141.0,216.0,203.0,57.0,565.0,198.0,242.0,282.0
당기순이익(지배),141.0,216.0,203.0,57.0,567.0,198.0,242.0,282.0
당기순이익(비지배),,,,,-2.0,,,
자산총계,2676.0,2824.0,3309.0,3980.0,4025.0,4278.0,4880.0,5024.0
부채총계,1076.0,1051.0,1350.0,2026.0,1529.0,1712.0,2295.0,2372.0
자본총계,1600.0,1774.0,1959.0,1954.0,2497.0,2566.0,2584.0,2652.0
자본총계(지배),1600.0,1774.0,1959.0,1954.0,2497.0,2566.0,2584.0,2652.0
자본총계(비지배),,,,,,,,
자본금,183.0,192.0,201.0,211.0,221.0,220.0,220.0,220.0
영업활동현금흐름,285.0,93.0,171.0,94.0,-243.0,822.0,469.0,538.0
투자활동현금흐름,-70.0,-167.0,-205.0,324.0,-245.0,-412.0,-539.0,-588.0
재무활동현금흐름,-214.0,31.0,191.0,-385.0,391.0,-41.0,281.0,-219.0
CAPEX,105.0,159.0,162.0,251.0,630.0,406.0,530.0,584.0
FCF,180.0,-65.0,9.0,-157.0,-872.0,,,
이자발생부채,317.0,370.0,573.0,255.0,663.0,,,
영업이익률,5.85,6.8,6.87,5.38,0.24,5.53,6.08,6.58
순이익률,4.32,6.01,5.06,1.39,13.36,4.19,4.62,4.96
ROE(%),9.24,12.8,10.88,2.9,,7.82,9.4,10.77
ROA(%),5.23,7.85,6.62,1.56,,4.78,5.29,5.7
부채비율,67.25,59.23,68.89,103.66,61.23,66.73,88.82,89.42
자본유보율,797.03,851.88,899.77,875.33,1076.24,,,
EPS(원),320.0,488.0,459.0,128.0,1283.0,448.0,548.0,638.0
PER(배),18.2,15.01,23.44,96.67,7.48,23.77,19.45,16.69
BPS(원),3719.0,4136.0,4566.0,4596.0,5874.0,6105.0,6147.0,6308.0
PBR(배),1.56,1.77,2.36,2.7,1.63,1.74,1.73,1.69
현금DPS(원),25.0,35.0,36.0,38.0,160.0,200.0,200.0,200.0
현금배당수익률,0.43,0.47,0.34,0.31,1.67,1.88,1.88,1.88
현금배당성향(%),7.51,6.86,7.67,28.55,11.99,0.45,0.37,0.31
발행주식수(보통주),8840000.0,8840000.0,8840000.0,8840000.0,8840000.0,,,
