주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,1450.0,1454.0,1520.0,1521.0,1434.0,,,
영업이익,133.0,69.0,76.0,119.0,77.0,,,
영업이익(발표기준),133.0,69.0,76.0,119.0,77.0,,,
세전계속사업이익,169.0,85.0,101.0,249.0,134.0,,,
당기순이익,132.0,66.0,79.0,193.0,104.0,,,
당기순이익(지배),132.0,66.0,79.0,193.0,104.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1813.0,1807.0,1904.0,2116.0,2064.0,,,
부채총계,289.0,243.0,285.0,338.0,230.0,,,
자본총계,1525.0,1564.0,1619.0,1778.0,1834.0,,,
자본총계(지배),1525.0,1564.0,1619.0,1778.0,1834.0,,,
자본총계(비지배),,,,,,,,
자본금,125.0,125.0,125.0,125.0,125.0,,,
영업활동현금흐름,172.0,110.0,185.0,252.0,73.0,,,
투자활동현금흐름,-181.0,-69.0,-115.0,-221.0,-20.0,,,
재무활동현금흐름,22.0,-52.0,6.0,-30.0,-92.0,,,
CAPEX,233.0,50.0,7.0,18.0,21.0,,,
FCF,-61.0,60.0,178.0,234.0,52.0,,,
이자발생부채,71.0,44.0,75.0,77.0,25.0,,,
영업이익률,9.17,4.75,4.99,7.8,5.34,,,
순이익률,9.13,4.52,5.22,12.71,7.27,,,
ROE(%),8.99,4.25,4.98,,5.78,,,
ROA(%),7.58,3.63,4.27,,4.99,,,
부채비율,18.93,15.57,17.63,19.02,12.55,,,
자본유보율,1119.95,1146.85,1191.5,1320.08,1363.67,,,
EPS(원),5293.0,2626.0,3172.0,7729.0,4172.0,,,
PER(배),8.43,15.0,11.29,5.8,9.96,,,
BPS(원),60998.0,62556.0,64750.0,71120.0,73362.0,,,
PBR(배),0.73,0.63,0.55,0.63,0.57,,,
현금DPS(원),1000.0,1000.0,1250.0,1650.0,1000.0,,,
현금배당수익률,2.24,2.54,3.49,3.68,2.41,,,
현금배당성향(%),18.89,38.08,39.41,21.35,23.97,,,
발행주식수(보통주),2499971.0,2499971.0,2499971.0,2499971.0,2499971.0,,,
