주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,48177.0,49385.0,47714.0,58475.0,65967.0,68501.0,69427.0,71696.0
영업이익,5986.0,6827.0,6722.0,7647.0,8948.0,8390.0,8888.0,9446.0
영업이익(발표기준),5986.0,6827.0,6722.0,7647.0,8948.0,,,
세전계속사업이익,5957.0,6830.0,6845.0,8017.0,9257.0,8751.0,9361.0,9967.0
당기순이익,4528.0,5049.0,5140.0,5946.0,6340.0,6247.0,6710.0,7134.0
당기순이익(지배),4481.0,5013.0,5094.0,5924.0,6290.0,6190.0,6650.0,7076.0
당기순이익(비지배),47.0,36.0,46.0,22.0,50.0,,,
자산총계,51210.0,56424.0,59079.0,64826.0,70381.0,74824.0,80044.0,85592.0
부채총계,7890.0,8593.0,6886.0,8199.0,9325.0,9854.0,10382.0,10843.0
자본총계,43320.0,47831.0,52194.0,56627.0,61057.0,65040.0,69791.0,74932.0
자본총계(지배),41827.0,46339.0,50773.0,55165.0,59603.0,63580.0,68273.0,73342.0
자본총계(비지배),1493.0,1492.0,1421.0,1463.0,1453.0,,,
자본금,944.0,944.0,944.0,944.0,944.0,942.0,942.0,941.0
영업활동현금흐름,7289.0,4039.0,9449.0,6807.0,7968.0,7479.0,8997.0,9049.0
투자활동현금흐름,-5304.0,-5636.0,-6508.0,-4590.0,-3237.0,-4310.0,-4997.0,-5170.0
재무활동현금흐름,-2515.0,-865.0,-2363.0,-1565.0,-1725.0,-1585.0,-1922.0,-1998.0
CAPEX,2899.0,3916.0,4799.0,1845.0,4970.0,3447.0,3524.0,3549.0
FCF,4390.0,123.0,4650.0,4962.0,2998.0,3828.0,5122.0,5201.0
이자발생부채,1650.0,1720.0,529.0,480.0,338.0,,,
영업이익률,12.43,13.82,14.09,13.08,13.56,12.25,12.8,13.18
순이익률,9.4,10.22,10.77,10.17,9.61,9.12,9.66,9.95
ROE(%),11.14,11.37,10.49,11.18,10.96,10.05,10.09,9.99
ROA(%),9.0,9.38,8.9,9.6,9.38,8.61,8.67,8.61
부채비율,18.21,17.96,13.19,14.48,15.27,15.15,14.88,14.47
자본유보율,4373.75,4802.51,5216.99,5678.25,6187.4,,,
EPS(원),23745.0,26565.0,26994.0,31395.0,33336.0,32802.0,35240.0,37498.0
PER(배),13.39,15.19,17.37,15.13,14.79,12.36,11.51,10.81
BPS(원),236655.0,262184.0,287269.0,312118.0,337232.0,359730.0,386283.0,414966.0
PBR(배),1.34,1.54,1.63,1.52,1.46,1.13,1.05,0.98
현금DPS(원),5000.0,6500.0,8500.0,8500.0,10000.0,10643.0,11214.0,11462.0
현금배당수익률,1.57,1.61,1.81,1.79,2.03,2.62,2.77,2.83
현금배당성향(%),19.72,22.92,29.49,25.36,28.1,0.32,0.32,0.31
발행주식수(보통주),18870000.0,18870000.0,18870000.0,18870000.0,18870000.0,,,
