주요재무정보,2013(IFRS별도),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,61.0,256.0,398.0,360.0,844.0,,,
영업이익,-40.0,-74.0,-47.0,-28.0,-45.0,,,
영업이익(발표기준),-40.0,-74.0,-92.0,-28.0,-45.0,,,
세전계속사업이익,-153.0,-227.0,-28.0,-110.0,7.0,,,
당기순이익,-153.0,-227.0,-25.0,-141.0,7.0,,,
당기순이익(지배),-153.0,-223.0,-19.0,-139.0,7.0,,,
당기순이익(비지배),,-5.0,-6.0,-2.0,0.0,,,
자산총계,457.0,462.0,789.0,387.0,998.0,,,
부채총계,261.0,298.0,412.0,104.0,308.0,,,
자본총계,195.0,165.0,377.0,283.0,691.0,,,
자본총계(지배),195.0,159.0,377.0,279.0,686.0,,,
자본총계(비지배),,6.0,0.0,4.0,4.0,,,
자본금,53.0,74.0,128.0,145.0,245.0,,,
영업활동현금흐름,-75.0,-47.0,-40.0,-23.0,-197.0,,,
투자활동현금흐름,-188.0,-5.0,30.0,85.0,-459.0,,,
재무활동현금흐름,117.0,71.0,16.0,-18.0,682.0,,,
CAPEX,87.0,63.0,13.0,5.0,0.0,,,
FCF,-162.0,-109.0,-53.0,-29.0,-198.0,,,
이자발생부채,218.0,275.0,359.0,85.0,290.0,,,
영업이익률,-65.98,-29.07,-11.76,-7.74,-5.33,,,
순이익률,-252.43,-88.97,-6.33,-39.07,0.84,,,
ROE(%),-60.44,,-7.17,-42.25,1.49,,,
ROA(%),-32.55,,-4.03,-23.95,1.02,,,
부채비율,133.86,180.6,109.13,36.54,44.52,,,
자본유보율,568.75,259.25,278.19,166.45,258.19,,,
EPS(원),-633.0,-743.0,-39.0,-206.0,6.0,,,
PER(배),-3.71,-1.68,-24.65,-3.45,57.76,,,
BPS(원),867.0,428.0,589.0,384.0,560.0,,,
PBR(배),2.71,2.91,1.63,1.85,0.64,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),26497720.0,37097139.0,64101882.0,72690174.0,122690174.0,,,
