주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2440.0,2386.0,2106.0,1975.0,2293.0,,,
영업이익,-84.0,48.0,-90.0,100.0,142.0,,,
영업이익(발표기준),-84.0,48.0,-90.0,100.0,142.0,,,
세전계속사업이익,-107.0,11.0,-119.0,36.0,145.0,,,
당기순이익,-97.0,21.0,-110.0,45.0,112.0,,,
당기순이익(지배),-97.0,21.0,-110.0,45.0,112.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2757.0,2750.0,2497.0,2619.0,2698.0,,,
부채총계,1689.0,1660.0,1528.0,1609.0,1594.0,,,
자본총계,1068.0,1089.0,969.0,1010.0,1104.0,,,
자본총계(지배),1068.0,1089.0,969.0,1010.0,1104.0,,,
자본총계(비지배),,,,,,,,
자본금,167.0,167.0,167.0,167.0,167.0,,,
영업활동현금흐름,32.0,-11.0,127.0,83.0,-22.0,,,
투자활동현금흐름,61.0,7.0,21.0,20.0,155.0,,,
재무활동현금흐름,-121.0,-8.0,-144.0,-109.0,-122.0,,,
CAPEX,33.0,37.0,46.0,34.0,55.0,,,
FCF,-1.0,-48.0,81.0,50.0,-77.0,,,
이자발생부채,1430.0,1438.0,1304.0,1203.0,1092.0,,,
영업이익률,-3.44,1.99,-4.27,5.04,6.21,,,
순이익률,-3.99,0.9,-5.22,2.28,4.91,,,
ROE(%),-8.72,1.99,-10.67,4.55,10.64,,,
ROA(%),-3.37,0.78,-4.19,1.76,4.23,,,
부채비율,158.18,152.44,157.58,159.3,144.35,,,
자본유보율,297.91,311.49,239.93,269.32,390.52,,,
EPS(원),-291.0,64.0,-328.0,135.0,336.0,,,
PER(배),-4.31,18.08,-4.41,18.13,6.36,,,
BPS(원),3193.0,3257.0,2899.0,3020.0,3302.0,,,
PBR(배),0.39,0.36,0.5,0.81,0.65,,,
현금DPS(원),0.0,20.0,0.0,50.0,80.0,,,
현금배당수익률,0.0,1.72,0.0,2.05,3.74,,,
현금배당성향(%),0.0,31.17,0.0,37.16,23.78,,,
발행주식수(보통주),33442000.0,33442000.0,33442000.0,33442000.0,33442000.0,,,
