주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,235.0,108.0,67.0,99.0,125.0,,,
영업이익,-9.0,-5.0,-12.0,-4.0,-2.0,,,
영업이익(발표기준),-9.0,-5.0,-12.0,-4.0,-2.0,,,
세전계속사업이익,-3.0,1.0,-7.0,1.0,5.0,,,
당기순이익,-3.0,1.0,-5.0,1.0,3.0,,,
당기순이익(지배),-3.0,1.0,-5.0,1.0,3.0,,,
당기순이익(비지배),,,,,,,,
자산총계,238.0,230.0,226.0,230.0,233.0,,,
부채총계,16.0,12.0,12.0,15.0,16.0,,,
자본총계,223.0,218.0,214.0,216.0,218.0,,,
자본총계(지배),223.0,218.0,214.0,216.0,218.0,,,
자본총계(비지배),,,,,,,,
자본금,10.0,10.0,10.0,10.0,10.0,,,
영업활동현금흐름,-28.0,-4.0,-4.0,8.0,-8.0,,,
투자활동현금흐름,-34.0,7.0,-10.0,-10.0,20.0,,,
재무활동현금흐름,-25.0,-5.0,,,,,,
CAPEX,2.0,1.0,,0.0,0.0,,,
FCF,-30.0,-5.0,-4.0,8.0,-8.0,,,
이자발생부채,,,,,,,,
영업이익률,-3.89,-4.53,-17.17,-4.23,-1.9,,,
순이익률,-1.13,0.88,-7.46,1.35,2.46,,,
ROE(%),-1.12,0.43,-2.32,0.62,1.42,,,
ROA(%),-0.9,0.41,-2.2,0.59,1.33,,,
부채비율,6.99,5.54,5.55,6.77,7.12,,,
자본유보율,2445.98,2454.4,2412.58,2427.33,2457.24,,,
EPS(원),-133.0,48.0,-251.0,67.0,154.0,,,
PER(배),-89.21,262.42,-67.0,332.64,267.25,,,
BPS(원),12892.0,12990.0,12754.0,12840.0,12968.0,,,
PBR(배),0.92,0.96,1.32,1.74,3.18,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,
